Continent,Status,Order,Family,Genus,Species,Log Mass,Combined Mass,Reference,taxa
AF,extant,Artiodactyla,Bovidae,Addax,nasomaculatus,4.85,70000.3,60,Addax_nasomaculatus
AF,extant,Artiodactyla,Bovidae,Aepyceros,melampus,4.72,52500.1,"63, 70",Aepyceros_melampus
AF,extant,Artiodactyla,Bovidae,Alcelaphus,buselaphus,5.23,171001.5,"63, 70",Alcelaphus_buselaphus
AF,extant,Artiodactyla,Bovidae,Ammodorcas,clarkei,4.45,28049.8,60,Ammodorcas_clarkei
AF,extant,Artiodactyla,Bovidae,Ammotragus,lervia,4.68,48000,75,Ammotragus_lervia
AF,extant,Artiodactyla,Bovidae,Antidorcas,marsupialis,4.59,39049.9,60,Antidorcas_marsupialis
AF,extinct,Artiodactyla,Bovidae,Antidorcas,bondi,4.53,34000,1,Antidorcas_bondi
AF,extinct,Artiodactyla,Bovidae,Antidorcas,australis,4.6,40000,2,Antidorcas_australis
AF,extant,Artiodactyla,Bovidae,Bos,taurus,5.95,900000,-999,Bos_taurus
AF,extant,Artiodactyla,Bovidae,Capra,walie,5,100000,-999,Capra_walie
AF,extant,Artiodactyla,Bovidae,Capra,ibex,5,100999.7,65,Capra_ibex
AF,extant,Artiodactyla,Bovidae,Capra,nubiana,4.9,78999.7,70,Capra_nubiana
AF,extant,Artiodactyla,Bovidae,Cephalophus,weynsi,-999,-999,-999,Cephalophus_weynsi
AF,extant,Artiodactyla,Bovidae,Cephalophus,dorsalis,4.3,20000,60,Cephalophus_dorsalis
AF,extant,Artiodactyla,Bovidae,Cephalophus,leucogaster,4.1,12699.9,60,Cephalophus_leucogaster
AF,extant,Artiodactyla,Bovidae,Cephalophus,monticola,3.8,6250,60,Cephalophus_monticola
AF,extant,Artiodactyla,Bovidae,Cephalophus,natalensis,4.08,12000,60,Cephalophus_natalensis
AF,extant,Artiodactyla,Bovidae,Cephalophus,niger,4.31,20400,60,Cephalophus_niger
AF,extant,Artiodactyla,Bovidae,Cephalophus,nigrifrons,4.14,13899.8,60,Cephalophus_nigrifrons
AF,extant,Artiodactyla,Bovidae,Cephalophus,rubidus,4.18,15000,60,Cephalophus_rubidus
AF,extant,Artiodactyla,Bovidae,Cephalophus,silvicultor,4.86,72500.3,60,Cephalophus_silvicultor
AF,extant,Artiodactyla,Bovidae,Cephalophus,jentinki,4.85,70000.3,65,Cephalophus_jentinki
AF,extant,Artiodactyla,Bovidae,Cephalophus,zebra,4.24,17500.1,65,Cephalophus_zebra
AF,extant,Artiodactyla,Bovidae,Cephalophus,adersi,3.97,9250,"63, 70",Cephalophus_adersi
AF,extant,Artiodactyla,Bovidae,Cephalophus,callipygus,4.26,18249.9,"63, 70",Cephalophus_callipygus
AF,extant,Artiodactyla,Bovidae,Cephalophus,harveyi,4.16,14500.1,"63, 70",Cephalophus_harveyi
AF,extant,Artiodactyla,Bovidae,Cephalophus,maxwellii,4.08,12000,"63, 70",Cephalophus_maxwellii
AF,extant,Artiodactyla,Bovidae,Cephalophus,ogilbyi,4.3,20000,"63, 70",Cephalophus_ogilbyi
AF,extant,Artiodactyla,Bovidae,Cephalophus,rufilatus,4.08,12000,"63, 70",Cephalophus_rufilatus
AF,extant,Artiodactyla,Bovidae,Cephalophus,spadix,4.75,56000.3,"63, 70",Cephalophus_spadix
AF,extant,Artiodactyla,Bovidae,Connochaetes,gnou,5.26,179999,60,Connochaetes_gnou
AF,extant,Artiodactyla,Bovidae,Connochaetes,taurinus,5.26,179999,"63, 70",Connochaetes_taurinus
AF,extant,Artiodactyla,Bovidae,Damaliscus,pygargus,5.01,102000,75,Damaliscus_pygargus
AF,extant,Artiodactyla,Bovidae,Damaliscus,hunteri,4.9,80000,"63, 70",Damaliscus_hunteri
AF,extant,Artiodactyla,Bovidae,Damaliscus,lunatus,5.13,136000.3,"63, 70",Damaliscus_lunatus
AF,extant,Artiodactyla,Bovidae,Dorcatragus,megalotis,4.01,10249.9,65,Dorcatragus_megalotis
AF,extant,Artiodactyla,Bovidae,Gazella,cuvieri,4.4,25000,-999,Gazella_cuvieri
AF,extant,Artiodactyla,Bovidae,Gazella,dama,4.86,72999.5,60,Gazella_dama
AF,extant,Artiodactyla,Bovidae,Gazella,rufifrons,4.43,26999.8,60,Gazella_rufifrons
AF,extant,Artiodactyla,Bovidae,Gazella,dorcas,4.36,23000.1,65,Gazella_dorcas
AF,extant,Artiodactyla,Bovidae,Gazella,dorcas,4.36,23000.1,65,Gazella_dorcas
AF,extant,Artiodactyla,Bovidae,Gazella,gazella,4.35,22499.9,65,Gazella_gazella
AF,extant,Artiodactyla,Bovidae,Gazella,spekei,4.3,20000,65,Gazella_spekei
AF,extant,Artiodactyla,Bovidae,Gazella,leptoceros,4.35,22200,75,Gazella_leptoceros
AF,extant,Artiodactyla,Bovidae,Gazella,granti,4.74,54999.7,"63, 70",Gazella_granti
AF,extant,Artiodactyla,Bovidae,Gazella,soemmerringii,4.6,40000,"63, 70",Gazella_soemmerringii
AF,extant,Artiodactyla,Bovidae,Gazella,thomsonii,4.31,20499.8,"63, 70",Gazella_thomsonii
AF,extinct,Artiodactyla,Bovidae,Gazella,atlantica,4.65,44500,"1, 2",Gazella_atlantica
AF,historical,Artiodactyla,Bovidae,Gazella,rufina,4.6,40000,"3, 4",Gazella_rufina
AF,extant,Artiodactyla,Bovidae,Hippotragus,equinus,5.43,269997.7,"63, 70",Hippotragus_equinus
AF,extant,Artiodactyla,Bovidae,Hippotragus,niger,5.36,227499.3,"63, 70",Hippotragus_niger
AF,historical,Artiodactyla,Bovidae,Hippotragus,leucophaeus,5.18,150000,"2, 4",Hippotragus_leucophaeus
AF,extant,Artiodactyla,Bovidae,Kobus,leche,5.04,110749,60,Kobus_leche
AF,extant,Artiodactyla,Bovidae,Kobus,megaceros,4.94,87500.4,65,Kobus_megaceros
AF,extant,Artiodactyla,Bovidae,Kobus,ellipsiprymnus,5.32,210000.3,"63, 70",Kobus_ellipsiprymnus
AF,extant,Artiodactyla,Bovidae,Kobus,kob,4.89,78500.1,"63, 70",Kobus_kob
AF,extant,Artiodactyla,Bovidae,Kobus,vardonii,4.85,71500.7,"63, 70",Kobus_vardonii
AF,extant,Artiodactyla,Bovidae,Litocranius,walleri,4.58,37999.7,"63, 70",Litocranius_walleri
AF,extant,Artiodactyla,Bovidae,Madoqua,saltiana,3.51,3250,65,Madoqua_saltiana
AF,extant,Artiodactyla,Bovidae,Madoqua,piacentinii,3.4,2500,70,Madoqua_piacentinii
AF,extant,Artiodactyla,Bovidae,Madoqua,guentheri,3.88,7500,"63, 70",Madoqua_guentheri
AF,extant,Artiodactyla,Bovidae,Madoqua,kirkii,3.72,5300.1,"63, 70",Madoqua_kirkii
AF,extinct,Artiodactyla,Bovidae,Megalotragus,priscus,5.3,200000,2,Megalotragus_priscus
AF,extant,Artiodactyla,Bovidae,Neotragus,batesi,3.48,3000,60,Neotragus_batesi
AF,extant,Artiodactyla,Bovidae,Neotragus,pygmaeus,3.6,4000,60,Neotragus_pygmaeus
AF,extant,Artiodactyla,Bovidae,Neotragus,moschatus,3.81,6499.9,"63, 70",Neotragus_moschatus
AF,extant,Artiodactyla,Bovidae,Oreotragus,oreotragus,4.11,12999.9,"63, 70",Oreotragus_oreotragus
AF,extant,Artiodactyla,Bovidae,Oryx,dammah,5.3,200000,60,Oryx_dammah
AF,extant,Artiodactyla,Bovidae,Oryx,gazella,5.23,169001.3,"63, 70",Oryx_gazella
AF,extant,Artiodactyla,Bovidae,Ourebia,ourebi,4.24,17250,"63, 70",Ourebia_ourebi
AF,extant,Artiodactyla,Bovidae,Pelea,capreolus,4.3,20000,60,Pelea_capreolus
AF,extinct,Artiodactyla,Bovidae,Pelorovis,antiquus,6,1000000,"2, 5",Pelorovis_antiquus
AF,extant,Artiodactyla,Bovidae,Raphicerus,melanotis,4.01,10249.9,60,Raphicerus_melanotis
AF,extant,Artiodactyla,Bovidae,Raphicerus,campestris,4.02,10500,"63, 70",Raphicerus_campestris
AF,extant,Artiodactyla,Bovidae,Raphicerus,sharpei,3.98,9499.9,"63, 70",Raphicerus_sharpei
AF,extant,Artiodactyla,Bovidae,Redunca,arundinum,4.76,58000.3,"63, 70",Redunca_arundinum
AF,extant,Artiodactyla,Bovidae,Redunca,fulvorufula,4.47,29499.9,"63, 70",Redunca_fulvorufula
AF,extant,Artiodactyla,Bovidae,Redunca,redunca,4.64,44050.4,"63, 70",Redunca_redunca
AF,extant,Artiodactyla,Bovidae,Sigmoceros,lichtensteinii,5.23,171498.4,60,Sigmoceros_lichtensteinii
AF,extant,Artiodactyla,Bovidae,Sylvicapra,grimmia,4.29,19499.8,"63, 70",Sylvicapra_grimmia
AF,extant,Artiodactyla,Bovidae,Syncerus,caffer,5.76,580002.7,"63, 70",Syncerus_caffer
AF,extant,Artiodactyla,Bovidae,Taurotragus,derbianus,5.83,680000,68,Taurotragus_derbianus
AF,extant,Artiodactyla,Bovidae,Taurotragus,oryx,5.76,569993.6,"63, 70",Taurotragus_oryx
AF,extant,Artiodactyla,Bovidae,Tragelaphus,angasii,4.94,86600.4,60,Tragelaphus_angasii
AF,extant,Artiodactyla,Bovidae,Tragelaphus,eurycerus,5.52,329003.1,60,Tragelaphus_eurycerus
AF,extant,Artiodactyla,Bovidae,Tragelaphus,buxtoni,5.33,215000.8,65,Tragelaphus_buxtoni
AF,extant,Artiodactyla,Bovidae,Tragelaphus,imberbis,4.91,81575.5,"63, 70",Tragelaphus_imberbis
AF,extant,Artiodactyla,Bovidae,Tragelaphus,scriptus,4.64,43250.4,"63, 70",Tragelaphus_scriptus
AF,extant,Artiodactyla,Bovidae,Tragelaphus,spekii,4.89,77999.2,"63, 70",Tragelaphus_spekii
AF,extant,Artiodactyla,Bovidae,Tragelaphus,strepsiceros,5.33,213501,"63, 70",Tragelaphus_strepsiceros
AF,extinct,Artiodactyla,Camelidae,Camelus,thomasi,5.7,500000,1,Camelus_thomasi
AF,extant,Artiodactyla,Cervidae,Cervus,elaphus,5.19,156250,65,Cervus_elaphus
AF,extinct,Artiodactyla,Cervidae,Megaloceros,algericus,5.9,800000,1,Megaloceros_algericus
AF,extant,Artiodactyla,Giraffidae,Giraffa,camelopardalis,5.95,899994.8,"63, 70",Giraffa_camelopardalis
AF,extinct,Artiodactyla,Giraffidae,Giraffa,gracilis,5.93,850000,6,Giraffa_gracilis
AF,extant,Artiodactyla,Giraffidae,Okapia,johnstoni,5.36,230001.1,"63, 70",Okapia_johnstoni
AF,extant,Artiodactyla,Hippopotamidae,Hexaprotodon,liberiensis,5.37,235001.2,60,Hexaprotodon_liberiensis
AF,extant,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,6.15,1417490,"63, 70",Hippopotamus_amphibius
