ASD_ID,asd_date,Longitude_asd,Latitude_asd,asd_file_name,Base_ID,ASD_Date
JPL02,2/6/25,-118.163111,34.198833,batch01_Spectral9998/SP_00019.asd,JPL02,2025-02-06
JPL03,2/6/25,-118.157239,34.18181,batch01_Spectral9998/SP_00006.asd,JPL03,2025-02-06
JPL04,2/6/25,-118.140528,34.178111,batch01_Spectral9998/SP_00064.asd,JPL04,2025-02-06
JPL05,2/6/25,-118.127,34.174583,batch01_Spectral9998/SP_00052.asd,JPL05,2025-02-06
JPL06_bkA,4/7/25,-118.110278,34.176361,batch02_Spectral9997/SP_00071.asd,JPL06,2025-04-07
JPL07_bkA,4/7/25,-118.162948,34.161926,batch02_Spectral9997/SP_00066.asd,JPL07,2025-04-07
JPL08,2/6/25,-118.146114,34.1595,batch01_Spectral9998/SP_00029.asd,JPL08,2025-02-06
JPL09_bkA,4/7/25,-118.127696,34.161591,batch02_Spectral9997/SP_00083.asd,JPL09,2025-04-07
JPL10,2/6/25,-118.164545,34.202894,batch01_Spectral9998/SP_00051.asd,JPL10,2025-02-06
JPL10,2/6/25,-118.164545,34.202894,batch01_Spectral9998/SP_00007.asd,JPL10,2025-02-06
JPL11_bkA,4/7/25,-118.168567,34.189899,batch02_Spectral9997/SP_00068.asd,JPL11,2025-04-07
JPL12_bkA,4/7/25,-118.178213,34.191747,batch02_Spectral9997/SP_00079.asd,JPL12,2025-04-07
JPL13,2/6/25,-118.1794346,34.1945253,batch01_Spectral9998/SP_00012.asd,JPL13,2025-02-06
JPL14,2/6/25,-118.176513,34.176014,batch01_Spectral9998/SP_00059.asd,JPL14,2025-02-06
JPL15_bkA,4/7/25,-118.1755,34.175306,batch02_Spectral9997/SP_00067.asd,JPL15,2025-04-07
JPL16,2/6/25,-118.176889,34.169278,batch01_Spectral9998/SP_00049.asd,JPL16,2025-02-06
JPL17,2/6/25,-118.177333,34.168667,batch01_Spectral9998/SP_00043.asd,JPL17,2025-02-06
JPL18_bkA,4/7/25,-118.186769,34.171063,batch02_Spectral9997/SP_00081.asd,JPL18,2025-04-07
JPL19,2/6/25,-118.186778,34.171028,batch01_Spectral9998/SP_00061.asd,JPL19,2025-02-06
JPL20,2/6/25,-118.186778,34.171028,batch01_Spectral9998/SP_00054.asd,JPL20,2025-02-06
JPL21,2/6/25,-118.10025,34.169611,batch01_Spectral9998/SP_00041.asd,JPL21,2025-02-06
JPL22,2/6/25,-118.1000878,34.1696962,batch01_Spectral9998/SP_00035.asd,JPL22,2025-02-06
JPL22,2/6/25,-118.1000878,34.1696962,batch01_Spectral9998/SP_00036.asd,JPL22,2025-02-06
JPL23,2/6/25,-118.101528,34.172472,batch01_Spectral9998/SP_00003.asd,JPL23,2025-02-06
JPL24,2/6/25,-118.186755,34.171054,batch01_Spectral9998/SP_00038.asd,JPL24,2025-02-06
JPL26,2/6/25,-118.116052,34.163292,batch01_Spectral9998/SP_00018.asd,JPL26,2025-02-06
JPL26,2/6/25,-118.116052,34.163292,batch01_Spectral9998/SP_00026.asd,JPL26,2025-02-06
JPL27,2/6/25,-118.11711,34.162556,batch01_Spectral9998/SP_00023.asd,JPL27,2025-02-06
JPL28_bkA,4/7/25,-118.088444,34.166472,batch02_Spectral9997/SP_00086.asd,JPL28,2025-04-07
JPL30,2/6/25,-118.084352,34.182345,batch01_Spectral9998/SP_00004.asd,JPL30,2025-02-06
JPL31,2/6/25,-118.0892415,34.1749843,batch01_Spectral9998/SP_00032.asd,JPL31,2025-02-06
JPL32,2/6/25,-118.088651,34.175104,batch01_Spectral9998/SP_00057.asd,JPL32,2025-02-06
JPL33_bkA,4/7/25,-118.0699896,34.175049,batch02_Spectral9997/SP_00080.asd,JPL33,2025-04-07
JPL34,2/6/25,-118.070276,34.174895,batch01_Spectral9998/SP_00015.asd,JPL34,2025-02-06
JPL36,2/6/25,-118.0711251,34.16651,batch01_Spectral9998/SP_00060.asd,JPL36,2025-02-06
JPL37,2/6/25,-118.071028,34.16635,batch01_Spectral9998/SP_00014.asd,JPL37,2025-02-06
JPL38,2/6/25,-118.058302,34.174408,batch01_Spectral9998/SP_00063.asd,JPL38,2025-02-06
JPL39,2/6/25,-118.058281,34.171831,batch01_Spectral9998/SP_00055.asd,JPL39,2025-02-06
JPL40_bkA,4/7/25,-118.043631,34.171007,batch02_Spectral9997/SP_00072.asd,JPL40,2025-04-07
JPL41,2/6/25,-118.044087,34.17077,batch01_Spectral9998/SP_00027.asd,JPL41,2025-02-06
JPL42,2/6/25,-118.058245,34.173776,batch01_Spectral9998/SP_00056.asd,JPL42,2025-02-06
JPL43_bkA,4/7/25,-118.02007,34.17599,batch02_Spectral9997/SP_00082.asd,JPL43,2025-04-07
JPL44,2/6/25,-118.020126,34.175802,batch01_Spectral9998/SP_00034.asd,JPL44,2025-02-06
JPL44,2/6/25,-118.020126,34.175802,batch01_Spectral9998/SP_00044.asd,JPL44,2025-02-06
JPL45,2/6/25,-118.027755,34.17527,batch01_Spectral9998/SP_00047.asd,JPL45,2025-02-06
JPL46,2/6/25,-118.030158,34.160278,batch01_Spectral9998/SP_00002.asd,JPL46,2025-02-06
JPL47,2/6/25,-118.041842,34.165483,batch01_Spectral9998/SP_00048.asd,JPL47,2025-02-06
JPL48_bkA,4/7/25,-118.057554,34.161124,batch02_Spectral9997/SP_00084.asd,JPL48,2025-04-07
JPL49,2/6/25,-118.45927,33.985508,batch01_Spectral9998/SP_00045.asd,JPL49,2025-02-06
