Target,Predictor,Category,N,r,p_raw,r_clean,p_clean,N_influential,Max_CooksD,p_bonferroni,p_fdr,p_clean_bonferroni,p_clean_fdr,Effect_size,Sig_raw,Sig_bonferroni,Sig_fdr,Robust,Manuscript_ready
Pb,XRF_organic,XRF,37,0.24927473810073053,0.13679380818884396,0.7095732302008785,1.8181620184032217e-6,2,3.220520531799767,1,0.4912952718140986,8.181729082814498e-4,1.3636215138024163e-4,Weak,FALSE,FALSE,FALSE,TRUE,FALSE
Pb,SiO2_pct,XRF,37,0.07399755557287914,0.6633749767560009,-0.5316240882527833,8.480380066020066e-4,1,0.8105062603570631,1,0.9653733326135822,0.38161710297090295,0.029355161766992533,Weak,FALSE,FALSE,FALSE,TRUE,FALSE
Pb,Al2O3_pct,XRF,37,-0.24752196089076617,0.13966608426456342,-0.43644111013779563,0.007787536812429848,1,1.2242135861414039,1,0.4912952718140986,1,0.1338052847360587,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Fe2O3_pct,XRF,37,-0.3703661198685018,0.024042969626520246,-0.5685527658412072,2.971788529786374e-4,1,2.388747799651087,1,0.1717354973322875,0.13373048384038683,0.012157316712762439,Moderate,TRUE,FALSE,FALSE,TRUE,FALSE
Pb,CaO_pct,XRF,37,-0.044382330353817,0.7942238581558309,0.13928677942149384,0.42486679649896564,2,0.6977751201946492,1,0.9653733326135822,1,0.8976059080964062,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,MgO_pct,XRF,37,0.9501212015636662,2.7376435953871322e-19,-0.2512413764746037,0.15177570964865958,3,179.31542966774424,1.2319396179242094e-16,4.248067648014516e-18,1,0.6651958686195676,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Pb,K2O_pct,XRF,37,-0.38605556513329853,0.018275096523227626,-0.4580461473343247,0.007350225975794395,4,2.6531444754555054,1,0.1370632239242072,1,0.1338052847360587,Moderate,TRUE,FALSE,FALSE,FALSE,FALSE
Pb,Cr_Ni,Ratio,39,0.3180841654643141,0.048450666907106366,0.2221398715278647,0.1928682281681204,3,2.167684709166343,1,0.3061145457261748,1,0.6651958686195676,Moderate,TRUE,FALSE,FALSE,FALSE,FALSE
Pb,Fe_Mn,Ratio,39,-0.14746564722731825,0.37032126927410314,-0.2072570800620325,0.2118298678035822,1,0.7776894322847241,1,0.8035218782039474,1,0.6778509233814833,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
Pb,Ca_Mg,Ratio,39,-0.0642443894396005,0.6976057454945512,0.2777819635891205,0.09130073149816795,1,0.656674121670923,1,0.9653733326135822,1,0.5962161357768958,Weak,FALSE,FALSE,FALSE,FALSE,FALSE
