Target,Predictor,Category,N,r,p_raw,r_clean,p_clean,N_influential,Max_CooksD,p_bonferroni,p_fdr,p_clean_bonferroni,p_clean_fdr,Effect_size,Sig_raw,Sig_bonferroni,Sig_fdr,Robust,Manuscript_ready
Pb,MgO_pct,XRF,37,0.9501212015636662,2.7376435953871322e-19,-0.2512413764746037,0.15177570964865958,3,179.31542966774424,1.2319396179242094e-16,4.248067648014516e-18,1,0.6651958686195676,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Pb,Pb_Zn,Ratio,39,0.9942198440036768,1.8154149599623981e-37,-0.005491577284079839,0.9742665821917639,2,242.04892396030078,8.169367319830792e-35,8.169367319830792e-35,1,0.9919003664848274,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Pb,Cu_Zn,Ratio,39,0.5984754246678837,5.714138460607903e-5,-0.37522139929996795,0.022115841509072306,2,12.319786438234226,0.025713623072735562,6.949627857496097e-4,1,0.256632611290967,Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Pb,Anthro_index,Ratio,39,0.6372942476295069,1.2841799775167887e-5,0.7608720244067141,7.20100492928813e-8,3,10.757477525294949,0.005778809898825549,1.6439592673058373e-4,3.2404522181796586e-5,1.6202261090898293e-5,Strong,TRUE,TRUE,TRUE,TRUE,TRUE
Zn,XRF_organic,XRF,37,0.8900105615720222,1.7224427506436012e-13,0.8885318944125637,5.145182003487738e-12,4,24.51610484216978,7.750992377896206e-11,2.4221851180925643e-12,2.315331901569482e-9,2.315331901569482e-9,Very Strong,TRUE,TRUE,TRUE,TRUE,TRUE
Zn,Si_Al_ratio,Ratio,37,0.6885529778608978,2.4682573844329017e-6,0.0762908527176563,0.6631363935955302,2,11.055524881503274,0.0011107158229948057,3.2668112441023695e-5,1,0.9021608230249412,Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,CH_stretch_2920,FTIR,34,0.9712049696789272,1.6698809258565392e-21,0.3227566903344884,0.07159065756073697,2,133.18077101091455,7.514464166354426e-19,1.0816914849170717e-19,1,0.5228975462468485,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,CH_stretch_2850,FTIR,34,0.9708879773634153,1.9850818771884625e-21,0.3235185810524265,0.07088555703389096,2,135.7256596876607,8.932868447348082e-19,1.0816914849170717e-19,1,0.5228975462468485,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,CH_total,FTIR,34,0.9709854938132915,1.8826351340939677e-21,0.3232359027345651,0.07114653179519,2,135.01801335533548,8.471858103422854e-19,1.0816914849170717e-19,1,0.5228975462468485,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,Aromatic_1580,FTIR,34,0.9637466970944163,6.309058941227624e-20,0.24268253547923496,0.18079570413933868,2,180.95357495681125,2.8390765235524304e-17,1.2452795354573502e-18,1,0.6651958686195676,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,CO_stretch_1100,FTIR,34,0.9632875370769981,7.691104331698614e-20,0.23366429686401824,0.1980522931411555,2,182.89146865870418,3.4609969492643766e-17,1.2452795354573502e-18,1,0.6651958686195676,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,NH_stretch,FTIR,34,0.9706170227453564,2.297796030593236e-21,0.32103334616729867,0.07320565647455879,2,135.3683169870529,1.0340082137669562e-18,1.0816914849170717e-19,1,0.5228975462468485,Very Strong,TRUE,TRUE,TRUE,FALSE,TRUE
Zn,NH_bend,FTIR,34,0.5230455158907645,0.00150407455313782,-0.19114199132878862,0.2946642710646874,2,6.7688726714137575,0.676833548912019,0.016115084497905215,1,0.7754322922754933,Strong,TRUE,FALSE,TRUE,FALSE,TRUE
