Metal,Carbonate_proxy,FeOx_proxy,Silicate_proxy,Clay_proxy,Sulfate_proxy,Phosphate_proxy
Pb,-0.002550988331210168,-0.37305098350465304,0.3280822441780847,-0.34645157686848127,-0.04087387311749111,-0.2597414047891844
Zn,0.02280113025399865,-0.47419283833363146,0.8326477144695846,-0.5120363416726008,0.6764091764247964,-0.30240393301423724
Cu,-0.0867700274453471,-0.3256134635549683,0.30837561125757695,-0.2849582110598636,-0.0069283203757938665,-0.26707635839834204
As,0.2315120928558379,0.02468862872406985,-0.14225563970719418,0.023681470446766884,0.1098872780243837,-0.04668524514112694
Cd,0.025231551133117584,-0.38509680763424387,0.21071704150754023,-0.09939643750001352,0.6793983980491065,-0.07868199288492639
Cr,0.6933063753732837,-0.4624617125553002,0.2491230508964268,-0.4270279785560888,0.43864214117178335,-0.288979305746904
Ni,0.182743991770161,-0.2871620180557349,-0.0024624544424048365,-0.07393479876963258,0.6490048217468518,-0.2772077191334193
Fe,-0.5367653019271056,0.8469551983724358,-0.6011725840258144,0.6529333400421727,-0.6778354622827859,-0.05870249975092017
Ca,0.9856524656310071,-0.6728513054632839,0.3963812268619998,-0.6855134156795124,0.44011145293076315,0.3423179192047421
Al,-0.4622799486454478,0.5678263387129283,-0.38129102604568155,0.4474219990039912,-0.5787687848654709,-0.045289768035513975
Mn,-0.2613600795036431,0.2766578762105749,-0.22548461682033683,0.15253921387724392,-0.46131916751988056,0.3565076837070364
Ba,0.6662360335739875,-0.6194286658767296,0.2359653724331411,-0.4561256134021401,0.4266056887583152,-0.17036269284847536
