Base_ID,has_ICPMS,has_XRF,has_ASD,has_FTIR,n_datasets,Data_Tier
1590,TRUE,TRUE,FALSE,TRUE,3,2
1601,TRUE,FALSE,FALSE,FALSE,1,3
1620,TRUE,TRUE,FALSE,TRUE,3,2
GPS02,TRUE,TRUE,FALSE,TRUE,3,2
GPS03,TRUE,TRUE,FALSE,TRUE,3,2
GPS05,TRUE,TRUE,FALSE,TRUE,3,2
GPS09,TRUE,TRUE,FALSE,TRUE,3,2
JPL06,TRUE,TRUE,TRUE,TRUE,4,1
JPL07,TRUE,TRUE,TRUE,TRUE,4,1
JPL09,TRUE,TRUE,TRUE,TRUE,4,1
JPL11,TRUE,TRUE,TRUE,TRUE,4,1
JPL15,TRUE,TRUE,TRUE,TRUE,4,1
JPL18,TRUE,TRUE,TRUE,TRUE,4,1
JPL25,TRUE,TRUE,FALSE,TRUE,3,2
JPL29,TRUE,TRUE,FALSE,TRUE,3,2
JPL33,TRUE,TRUE,TRUE,TRUE,4,1
JPL43,TRUE,TRUE,TRUE,TRUE,4,1
JPL48,TRUE,TRUE,TRUE,TRUE,4,1
JPL50,TRUE,TRUE,TRUE,TRUE,4,1
JPL51,TRUE,TRUE,TRUE,TRUE,4,1
JPL58,TRUE,TRUE,TRUE,TRUE,4,1
JPL59,TRUE,TRUE,TRUE,TRUE,4,1
JPL61,TRUE,TRUE,FALSE,TRUE,3,2
JPL63,TRUE,TRUE,TRUE,TRUE,4,1
JPL68,TRUE,TRUE,FALSE,TRUE,3,2
JPL73,TRUE,TRUE,TRUE,FALSE,3,2
JPL76,TRUE,TRUE,TRUE,TRUE,4,1
JPL77,TRUE,TRUE,TRUE,TRUE,4,1
JPL79,TRUE,TRUE,TRUE,TRUE,4,1
JPL86,TRUE,TRUE,TRUE,TRUE,4,1
JPL89,TRUE,TRUE,TRUE,TRUE,4,1
JPL95,TRUE,TRUE,TRUE,TRUE,4,1
XPAH17,TRUE,FALSE,FALSE,FALSE,1,3
XPAH29,TRUE,TRUE,FALSE,TRUE,3,2
XPAH20,TRUE,TRUE,FALSE,TRUE,3,2
XPAH26,TRUE,TRUE,FALSE,TRUE,3,2
XPAH28,TRUE,TRUE,FALSE,TRUE,3,2
XPAH55,TRUE,TRUE,FALSE,TRUE,3,2
XPAH58,TRUE,TRUE,FALSE,TRUE,3,2
1637,TRUE,FALSE,FALSE,FALSE,1,3
1643,TRUE,FALSE,FALSE,FALSE,1,3
1648,TRUE,FALSE,FALSE,FALSE,1,3
JPL52,FALSE,TRUE,TRUE,TRUE,3,2
JPL94,FALSE,TRUE,TRUE,TRUE,3,2
1630,FALSE,TRUE,FALSE,FALSE,1,3
1619,FALSE,TRUE,FALSE,FALSE,1,3
JPL12,FALSE,TRUE,TRUE,TRUE,3,2
1585,FALSE,TRUE,FALSE,FALSE,1,3
JPL40,FALSE,TRUE,TRUE,TRUE,3,2
XPAH53,FALSE,TRUE,FALSE,FALSE,1,3
JPL28,FALSE,TRUE,TRUE,TRUE,3,2
XPAH56,FALSE,TRUE,FALSE,FALSE,1,3
XPAH51,FALSE,TRUE,FALSE,FALSE,1,3
1680,FALSE,TRUE,FALSE,FALSE,1,3
1682,FALSE,TRUE,FALSE,FALSE,1,3
1679,FALSE,TRUE,FALSE,FALSE,1,3
1696,FALSE,TRUE,FALSE,FALSE,1,3
1694,FALSE,TRUE,FALSE,FALSE,1,3
1685,FALSE,TRUE,FALSE,FALSE,1,3
1689,FALSE,TRUE,FALSE,FALSE,1,3
1683,FALSE,TRUE,FALSE,FALSE,1,3
1666,FALSE,TRUE,FALSE,FALSE,1,3
JPL02,FALSE,FALSE,TRUE,FALSE,1,3
JPL03,FALSE,FALSE,TRUE,FALSE,1,3
JPL04,FALSE,FALSE,TRUE,FALSE,1,3
JPL05,FALSE,FALSE,TRUE,FALSE,1,3
JPL08,FALSE,FALSE,TRUE,FALSE,1,3
JPL10,FALSE,FALSE,TRUE,FALSE,1,3
JPL13,FALSE,FALSE,TRUE,FALSE,1,3
JPL14,FALSE,FALSE,TRUE,FALSE,1,3
JPL16,FALSE,FALSE,TRUE,FALSE,1,3
JPL17,FALSE,FALSE,TRUE,FALSE,1,3
JPL19,FALSE,FALSE,TRUE,FALSE,1,3
JPL20,FALSE,FALSE,TRUE,FALSE,1,3
JPL21,FALSE,FALSE,TRUE,FALSE,1,3
JPL22,FALSE,FALSE,TRUE,TRUE,2,2
JPL23,FALSE,FALSE,TRUE,FALSE,1,3
