Proxy,Source,Pb_r,Zn_r,Cu_r,n,Mean_abs_r
XRF_organic,XRF,0.5283375587882286,0.4222682682213663,0.6704310785758685,33,0.5403456351951544
CH_stretch_2920,FTIR_raw,0.27711590579625056,0.2029794260392414,0.3075620701794392,33,0.2625524673383104
Total_organic_C,FTIR_raw,0.27763226979778627,0.20458589007485684,0.30431394370710163,33,0.2621773678599149
CH_total,FTIR_raw,0.2758186997335842,0.2037838669088054,0.3049904321407073,33,0.2615309995943656
NH_stretch,FTIR_raw,0.2733548296367558,0.2038979234587739,0.3031370109025042,33,0.260129921332678
Organic_mineral_ratio,FTIR_normalized,0.2770789594946958,0.1311090240702925,0.2590397408109049,33,0.22240924145863109
Organic_mineral_norm,FTIR_normalized,0.2603643868155417,0.134665428895231,0.2642596198675675,33,0.21976314519278006
CH_norm_Si,FTIR_normalized,0.2548499027450061,0.13417848621958753,0.26224429529703164,33,0.21709089475387508
Vis_slope,ASD,-0.48770635333005047,-0.1534505236158202,0.005308404656778257,20,0.215488427200883
Char_darkness,ASD,0.3935531865012237,0.14213015231829956,-0.09053653617722576,20,0.20873995833224968
Organic_index_1,ASD,-0.4810075327064251,-0.13637360822344816,-0.003008620361795145,20,0.20679658709722282
NH_norm_Si,FTIR_normalized,0.23949578490495724,0.1309291670209063,0.24387683567313814,33,0.20476726253300057
Total_organic_CNSP,FTIR_raw,0.21284568214612062,0.17673836364392226,0.2077066642581154,33,0.19909690334938612
CO_carbonyl_1720,FTIR_raw,0.2439177377783301,0.11716768223882325,0.031759179769147314,33,0.13094819992876688
CO_norm_Si,FTIR_normalized,0.08162687596141381,-0.14638988673749834,-0.08930119274235819,33,0.10577265181375678
Aromatic_1600,FTIR_raw,-0.10884044665636537,0.02178727572434348,-0.15660070295346412,33,0.09574280844472433
Aromatic_norm_Si,FTIR_normalized,0.1214295159137965,-0.011253462284712627,-0.035099889456621194,33,0.05592762255171011
Char_index_FTIR,FTIR_normalized,0.005610644651079707,0.04958557397417981,-0.02174842410109197,33,0.025648214242117162
