Metal,Classification,N,Min,Q1,Median,Mean,Q3,Max,SD,CV
Cu,Fire-enriched,39,14.21428571,50.647525555,60.99307895,207.22990467128204,104.303985085,3650.045662,588.2441164014473,283.8606316663361
Pb,Fire-enriched,39,13.79730597,50.60160057,61.12195122,637.5656995458974,83.340573115,18528.21005,2959.393110195866,464.1706905349014
Zn,Fire-enriched,39,100.3745541,175.4862985,332.6695279,1310.0593352153846,675.4813951000001,23828.51852,3824.237608370561,291.9133130517195
As,Geogenic,39,3.01369863,5.239193998499999,6.067301156,6.486432547076923,6.9361646475,12.1980198,2.144598780930306,33.06283947864004
Cr,Geogenic,39,21.5730591,36.39760719,42.84146341,55.13678503051282,49.599572144999996,331.5119048,50.08611223546648,90.83974012585013
Ni,Geogenic,39,16.61471882,22.142409915000002,26.4933687,45.99865378076923,33.600310390000004,371.9738752,65.88732659046278,143.23751061168764
Al,Matrix element,39,1911.824451,30625.60234,43973.41463,36613.1709755641,47382.883375,56584.93124,16300.362345455223,44.520487876710284
Ba,Matrix element,39,207.1872528,668.0756415000001,753.5201098,955.8597191153846,928.2905174,3504.654762,661.3682545591679,69.19093265811446
Ca,Matrix element,39,10148.19098,27969.477534999998,33378.06342,52728.36229512821,49529.0924,322440.9881,61251.052075468164,116.16338799342418
Fe,Matrix element,39,8335.690476,26950.43682,38332.03243,36577.499430948716,44915.60456,64080.83234,13618.575084587477,37.232110714120104
Mn,Matrix element,39,273.4445157,723.88226505,897.6057558,962.1092577128205,1123.6020075000001,2742.041885,460.29126360901125,47.841891128169905
