Metal,RSL_ppm,Basis,N_total,N_exceed,Pct_exceed,Max_concentration,Exceedance_factor
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
As,0.68,Cancer,39,39,100,12.1980198,17.938264411764706
