Metal,Ratio,r,p,Type,Significance,abs_r
As,As_Fe,0.4998969668026546,0.001193870424569189,Matrix/Geogenic,**,0.4998969668026546
As,Pb_Cu,0.40254296859822775,0.011066593931584648,Anthropogenic,*,0.40254296859822775
As,Cr_Fe,0.38278305112212363,0.016167906198272998,Matrix/Geogenic,*,0.38278305112212363
As,Cr_Ni,0.31075816991032434,0.05416455012582707,Matrix/Geogenic,ns,0.31075816991032434
As,Cu_Zn,-0.2842701283145893,0.07944871615548404,Anthropogenic,ns,0.2842701283145893
As,Pb_Zn,-0.2366517900953643,0.1469186246075404,Anthropogenic,ns,0.2366517900953643
As,Ni_Fe,0.20625190679367517,0.2077659497663215,Matrix/Geogenic,ns,0.20625190679367517
As,Anthro_index,-0.0425363673715336,0.7970914494695922,Anthropogenic,ns,0.0425363673715336
As,Si_Al_ratio,0.03454620898350843,0.8391472152797395,Matrix/Geogenic,ns,0.03454620898350843
As,Ca_Mg,-0.012847389136895633,0.9381266360463676,Matrix/Geogenic,ns,0.012847389136895633
As,Fe_Mn,0.011642328600275946,0.9439205918888359,Matrix/Geogenic,ns,0.011642328600275946
As,Mafic_index,0.005285321095869085,0.9752327916786085,Matrix/Geogenic,ns,0.005285321095869085
As,Fe_Al,-0.004664067132327544,0.9775189524862546,Matrix/Geogenic,ns,0.004664067132327544
As,Fe_Al_ratio,-0.004632318526011732,0.9776719439905482,Matrix/Geogenic,ns,0.004632318526011732
Cr,Cr_Fe,0.9391428162214512,9.359353258738331e-19,Matrix/Geogenic,***,0.9391428162214512
Cr,Pb_Cu,0.9113353268002163,7.782173215924744e-16,Anthropogenic,***,0.9113353268002163
Cr,As_Fe,0.8705748565864623,5.963378890778913e-13,Matrix/Geogenic,***,0.8705748565864623
Cr,Ni_Fe,0.7264921062348235,1.6431932102618132e-7,Matrix/Geogenic,***,0.7264921062348235
Cr,Si_Al_ratio,0.549541417389309,4.269343363151764e-4,Matrix/Geogenic,***,0.549541417389309
Cr,Cr_Ni,0.3136607452621015,0.05183943545289005,Matrix/Geogenic,ns,0.3136607452621015
Cr,Ca_Mg,0.2641966830148962,0.10410894623708392,Matrix/Geogenic,ns,0.2641966830148962
Cr,Anthro_index,0.25867224470932043,0.11182445817381402,Anthropogenic,ns,0.25867224470932043
Cr,Cu_Zn,-0.16281314949491194,0.32202022182125195,Anthropogenic,ns,0.16281314949491194
Cr,Mafic_index,-0.10194084130035273,0.5482619651881058,Matrix/Geogenic,ns,0.10194084130035273
Cr,Fe_Mn,-0.09062687765205397,0.5832237427948692,Matrix/Geogenic,ns,0.09062687765205397
Cr,Fe_Al,-0.09045994029384145,0.583920524424983,Matrix/Geogenic,ns,0.09045994029384145
Cr,Fe_Al_ratio,-0.09044350782805648,0.583989132157762,Matrix/Geogenic,ns,0.09044350782805648
Cr,Pb_Zn,0.014917986463810136,0.9281786561862514,Anthropogenic,ns,0.014917986463810136
Ni,Ni_Fe,0.8774389286840695,2.3115748071524627e-13,Matrix/Geogenic,***,0.8774389286840695
Ni,Cr_Ni,-0.4547967607296887,0.0036280463790101134,Matrix/Geogenic,**,0.4547967607296887
Ni,Cr_Fe,0.3199352408113354,0.047086575189982265,Matrix/Geogenic,*,0.3199352408113354
Ni,As_Fe,0.2864478075973811,0.07707420767124128,Matrix/Geogenic,ns,0.2864478075973811
Ni,Pb_Cu,0.22405271270643068,0.1703156942288875,Anthropogenic,ns,0.22405271270643068
Ni,Anthro_index,0.20967131100282935,0.2001618117728238,Anthropogenic,ns,0.20967131100282935
Ni,Mafic_index,-0.2011575908781232,0.23253759964279783,Matrix/Geogenic,ns,0.2011575908781232
Ni,Ca_Mg,0.1989566513284888,0.22465491960226722,Matrix/Geogenic,ns,0.1989566513284888
Ni,Cu_Zn,-0.135431099365358,0.41105021333790026,Anthropogenic,ns,0.135431099365358
Ni,Si_Al_ratio,0.09122269418334737,0.5912934140199391,Matrix/Geogenic,ns,0.09122269418334737
Ni,Fe_Mn,-0.08136222589317675,0.6224414499045388,Matrix/Geogenic,ns,0.08136222589317675
Ni,Fe_Al,0.0811142930654126,0.6235058777481068,Matrix/Geogenic,ns,0.0811142930654126
Ni,Fe_Al_ratio,0.08107943004315855,0.6236556125890296,Matrix/Geogenic,ns,0.08107943004315855
Ni,Pb_Zn,-0.0767373474470521,0.642419587897191,Anthropogenic,ns,0.0767373474470521
