Base_ID,Series,Prep,Replicate,XRF_elements,Pb_lines,Status
PBP01_pellet_A,PBP01,pellet,A,✓,✓,COMPLETE
PBP01_pellet_B,PBP01,pellet,B,✓,✓,COMPLETE
PBP01_pellet_C,PBP01,pellet,C,✓,✓,COMPLETE
PBP01_powder_1,PBP01,powder,1,✓,✓,COMPLETE
PBP01_powder_2,PBP01,powder,2,✓,✓,COMPLETE
PBP01_powder_3,PBP01,powder,3,✓,✓,COMPLETE
PBP02_pellet_A,PBP02,pellet,A,✓,✓,COMPLETE
PBP02_pellet_B,PBP02,pellet,B,✓,✓,COMPLETE
PBP02_pellet_C,PBP02,pellet,C,✓,✓,COMPLETE
PBP02_powder_1,PBP02,powder,1,✓,✓,COMPLETE
PBP02_powder_2,PBP02,powder,2,✓,✓,COMPLETE
PBP02_powder_3,PBP02,powder,3,✓,✓,COMPLETE
PBP03_pellet_A,PBP03,pellet,A,✓,✓,COMPLETE
PBP03_pellet_B,PBP03,pellet,B,✓,✓,COMPLETE
PBP03_pellet_C,PBP03,pellet,C,✓,✓,COMPLETE
PBP03_powder_1,PBP03,powder,1,✓,✓,COMPLETE
PBP03_powder_2,PBP03,powder,2,✓,✓,COMPLETE
PBP03_powder_3,PBP03,powder,3,✓,✓,COMPLETE
PBP04_pellet_A,PBP04,pellet,A,✓,✓,COMPLETE
PBP04_pellet_B,PBP04,pellet,B,✓,✓,COMPLETE
PBP04_pellet_C,PBP04,pellet,C,✓,✓,COMPLETE
PBP04_powder_1,PBP04,powder,1,✓,✓,COMPLETE
PBP04_powder_2,PBP04,powder,2,✓,✓,COMPLETE
PBP04_powder_3,PBP04,powder,3,✓,✓,COMPLETE
