sample_id,method,element,int_cts_s,int_err,value,unit,value_err
1590,powder,Ag,0.592,0.044,25.0,ppm,3.5
1590,powder,Al,7.613,0.066,8.064,%,0.065
1590,powder,As,,,14.0,ppm,2.5
1590,powder,Ba,,,0.056,%,0.004
1590,powder,Ca,210.733,0.139,5.534,%,0.029
1590,powder,Cr,,,73.0,ppm,12.9
1590,powder,Cu,0.201,0.015,135.0,ppm,3.0
1590,powder,Fe,107.039,0.093,8.561,%,0.019
1590,powder,Ga,0.075,0.015,50.0,ppm,2.1
1590,powder,K,76.324,0.087,7.071,%,0.064
1590,powder,Mg,0.524,0.058,1.542,%,0.166
1590,powder,Mn,2.232,0.02,0.198,%,0.002
1590,powder,Nb,0.276,0.015,30.0,ppm,2.6
1590,powder,Ni,0.506,0.016,54.0,ppm,3.1
1590,powder,O,,,43.726,%,0.089
1590,powder,P,0.504,0.018,0.163,%,0.006
1590,powder,Pb,,,306.0,ppm,7.2
1590,powder,Rb,,,237.0,ppm,2.9
1590,powder,S,1.838,0.018,0.261,%,0.003
1590,powder,Si,47.212,0.105,23.371,%,0.061
1590,powder,Sn,,,46.0,ppm,6.8
1590,powder,Sr,0.021,,0.058,%,0.0
1590,powder,Te,,,73.0,ppm,14.1
1590,powder,Th,,,51.0,ppm,4.6
1590,powder,Ti,,,1.158,%,0.009
1590,powder,V,5.614,0.03,227.0,ppm,36.5
1590,powder,Y,0.017,,56.0,ppm,3.0
1590,powder,Zn,0.829,0.017,0.066,%,0.001
1590,powder,Zr,0.402,0.023,336.0,ppm,3.6
1606,pellet,Al,3.38,0.053,3.432,%,0.051
1606,pellet,Ba,,,0.265,%,0.005
1606,pellet,Bi,,,30.0,ppm,3.7
1606,pellet,Br,,,0.064,%,0.0
1606,pellet,Ca,409.079,0.193,11.075,%,0.042
1606,pellet,Cl,5.041,0.026,0.466,%,0.003
1606,pellet,Co,0.287,0.022,62.0,ppm,11.5
1606,pellet,Cr,0.063,0.014,100.0,ppm,12.5
1606,pellet,Cu,0.821,0.019,0.063,%,0.001
1606,pellet,Fe,15.871,0.04,1.207,%,0.004
1606,pellet,Ga,0.064,0.017,42.0,ppm,2.3
1606,pellet,K,15.215,0.042,1.446,%,0.052
1606,pellet,Mg,0.65,0.064,1.809,%,0.171
1606,pellet,Mn,0.382,0.015,358.0,ppm,11.5
1606,pellet,Nb,0.179,0.019,14.0,ppm,2.7
1606,pellet,Ni,0.775,0.022,37.0,ppm,2.4
