Base_ID,Sample_Type,Lat,Lon,ICPMS_ID,XRF_ID_original,XRF_powder,XRF_pellet,Pb_powder,Pb_pellet,Status
1590,ASH,34.139909,-118.088821,1590_bkB.A,1590_bkB.S,1590,,1590,,PARTIAL
1601,ASH,34.13625,-118.127,1601,-9999,,,,,ICPMS_ONLY
1606,,,,,,,1606,,1606,XRF_ONLY
1620,ASH,34.17194,-118.123503,1620_bkB.S.A,1620_bkB.S,1620,1620,1620,1620,COMPLETE
1637,SOIL,34.19102,-118.154,1637,-9999,,,,,ICPMS_ONLY
1639,,,,,,,1639,,1639,XRF_ONLY
1642,,,,,,,1642,,1642,XRF_ONLY
1643,SOIL,34.20643,-118.136,1643,-9999,,,,,ICPMS_ONLY
1648,SOIL,34.136109,-118.125651,1648,-9999,,,,,ICPMS_ONLY
GPS02,ASH,34.130429,-118.135441,GPS02_bkB.S.A,GPS02_bkB.S,,,,,ICPMS_ONLY
GPS03,ASH,34.13004,-118.144,GPS03_bkB.S.A,GPS03_bkB.S,GPS03,GPS03,GPS03,GPS03,COMPLETE
GPS05,ASH,34.142425,-118.136055,GPS05_bkB.S.A,GPS05_bkB.S,GPS05,,GPS05,,PARTIAL
GPS09,ASH,34.15316,-118.146214,GPS09_bkB.S.A,GPS09_bkB.S,GPS09,GPS09,GPS09,GPS09,COMPLETE
JPL06,ASH,34.176361,-118.110278,JPL06_bkB.S.A,JPL06_bkB.S,,JPL06,,JPL06,PARTIAL
JPL07,ASH,34.161926,-118.162948,JPL07_bkB.S.A,JPL07_bkB.S,,JPL07,,JPL07,PARTIAL
JPL09,ASH,34.161591,-118.127696,JPL09_bkB.S.A,JPL09_bkB.S,JPL09,JPL09,JPL09,JPL09,COMPLETE
JPL11,ASH,34.189899,-118.168567,JPL11_bkB.S.A,JPL11_bkB.S,JPL11,JPL11,JPL11,JPL11,COMPLETE
JPL15,ASH,34.175306,-118.1755,JPL15_bkB.S.A,JPL15_bkB.S,,JPL15,,JPL15,PARTIAL
JPL18,ASH,34.171063,-118.186769,JPL18_bkB.S.A,JPL18_bkB.S,,JPL18,,JPL18,PARTIAL
JPL25,ASH,34.162417,-118.10011,JPL25_bkB.S.A,JPL25_bkB.S,,JPL25,,JPL25,PARTIAL
JPL28,,,,,,JPL28,JPL28,JPL28,JPL28,XRF_ONLY
JPL29,ASH,34.183504,-118.082986,JPL29_bkB.S.A,JPL29_bkB.S,JPL29,JPL29,JPL29,JPL29,COMPLETE
JPL33,ASH,34.175049,-118.06999,JPL33_bkB.S.A,JPL33_bkB.S,JPL33,JPL33,JPL33,JPL33,COMPLETE
JPL40,,,,,,JPL40,JPL40,JPL40,JPL40,XRF_ONLY
JPL43,ASH,34.17599,-118.02007,JPL43_bkB.S.A,JPL43_bkB.S,JPL43,JPL43,JPL43,JPL43,COMPLETE
JPL48,ASH,34.161124,-118.057554,JPL48_bkB.S.A,JPL48_bkB.S,JPL48,JPL48,JPL48,JPL48,COMPLETE
JPL50,ASH,34.199831,-118.191721,JPL50_bkB.S.A,JPL50_bkB.S,JPL50,JPL50,JPL50,JPL50,COMPLETE
JPL51,ASH,34.202526,-118.178906,JPL51_bkB.S.A,JPL51_bkB.S,JPL51,JPL51,JPL51,JPL51,COMPLETE
JPL52,,,,,,JPL52,JPL52,JPL52,JPL52,XRF_ONLY
JPL58,ASH,34.175086,-118.159399,JPL58_bkB.S.A,JPL58_bkB.S,JPL58,JPL58,JPL58,JPL58,COMPLETE
JPL59,ASH,34.173628,-118.144892,JPL59_bkB.S.A,JPL59_bkB.S,,JPL59,,JPL59,PARTIAL
JPL61,ASH,34.16643,-118.135338,JPL61_bkB.S.A,JPL61_bkB.S,JPL61,JPL61,JPL61,JPL61,COMPLETE
JPL63,ASH,34.165413,-118.154636,JPL63_bkB.S.A,JPL63_bkB.S,JPL63,JPL63,JPL63,JPL63,COMPLETE
JPL68,ASH,34.198711,-118.163071,JPL68,JPL68_bkB.S,,JPL68,,JPL68,PARTIAL
JPL73,ASH,34.188432,-118.130156,JPL73_bkB.S.A,JPL73_bkB.S,,JPL73,,JPL73,PARTIAL
JPL76,ASH,34.191261,-118.145178,JPL76,JPL76_bkB.S,,JPL76,,JPL76,PARTIAL
JPL77,ASH,34.189415,-118.146334,JPL77_bkB.S.A,JPL77_bkB.S,JPL77,JPL77,JPL77,JPL77,COMPLETE
JPL79,ASH,34.199635,-118.146431,JPL79,JPL79_bkB.S,JPL79,JPL79,JPL79,JPL79,COMPLETE
JPL86,ASH,34.200775,-118.128921,JPL86_bkB.S.A,JPL86_bkB.S,,JPL86,,JPL86,PARTIAL
JPL89,ASH,34.127434,-118.19433,JPL89_bkB.S.A,JPL89_bkB.S,JPL89,JPL89,JPL89,JPL89,COMPLETE
JPL94,,,,,,JPL94,JPL94,JPL94,JPL94,XRF_ONLY
JPL95,ASH,34.149446,-118.118895,JPL95_bkB.S.A,JPL95_bkB.S,JPL95,JPL95,JPL95,JPL95,COMPLETE
XPAH17,ASH,34.17331,-118.041,XPAH-17,-9999,,,,,ICPMS_ONLY
XPAH20,ASH,34.191078,-118.154297,XPAH20_bkB.S.A,XPAH20_bkB.S,XPAH20,XPAH20,XPAH20,XPAH20,COMPLETE
XPAH26,ASH,34.19516,-118.154653,XPAH26_bkB.S.A,XPAH26_bkB.S,XPAH26,XPAH26,XPAH26,XPAH26,COMPLETE
XPAH28,ASH,34.206473,-118.135615,XPAH28_bkB.S.A,XPAH28_bkB.S,XPAH28,XPAH28,XPAH28,XPAH28,COMPLETE
XPAH29,ASH,34.18834,-118.11,XPAH-29,XPAH29_bkB.S,XPAH29,XPAH29,XPAH29,XPAH29,COMPLETE
XPAH55,SOIL,34.19345,-118.10439,XPAH55_bkB.S.A,XPAH55_bkB.S,XPAH55,XPAH55,XPAH55,XPAH55,COMPLETE
XPAH58,ASH,34.177179,-118.097225,XPAH58_bkB.S.A,XPAH58_bkB.S,XPAH58,XPAH58,XPAH58,XPAH58,COMPLETE
