Base_ID,Sample_Type,Latitude,Longitude,Pb_icpms,Zn_icpms,Cu_icpms,As_icpms,Pb_xrf_wt,Zn_xrf_wt,Cu_xrf_wt,Pb_xrf_ppm,Zn_xrf_ppm,Cu_xrf_ppm,Pb_predicted_H0,Pb_residual_H0,Pb_bias_H0,Method,Pb_La1_cts,Pb_Lb1_cts,Pb_Lb2_cts,Pb_Lb_sum,Pb_predicted_H1b,Pb_residual_H1b
1620,ASH,34.17194,-118.123503,54.27586207,165.5431034,40.75,6.474137931,0.0162,0.066,0.0207,162,660,207,-87.16175091708163,141.43761298708165,107.72413793,pellet,65.864,48.37,22.767,71.137,-32.79356336362542,87.06942543362541
GPS03,ASH,34.13004,-118.144,53.07316245,351.3769855,63.1412941,6.690810802,0.0432,0.109,0.0341,432,1090,341,67.55544396883614,-14.482281518836146,378.92683755,pellet,73.599,53.951,25.394,79.345,-19.597887492378323,72.67104994237832
GPS09,ASH,34.15316,-118.146214,49.43502825,147.0998117,39.47269303,5.612052731,0.0419,0.087,0.0184,419,869.9999999999999,184,60.10609754840305,-10.671069298403047,369.56497175,pellet,90.205,66.231,31.175,97.40599999999999,9.438065469438659,39.99696278056135
JPL06,ASH,34.176361,-118.110278,55.01195219,158.310757,60,4.462151394,0.0171,0.064,0.0272,171,640,272,-82.00451108755102,137.01646327755103,115.98804781,pellet,52.197,38.387,18.068,56.455,-56.397232118699726,111.40918430869974
JPL07,ASH,34.161926,-118.162948,88.05642307,787.6254346,71.21923405,6.943947332,0.0397,0.19,0.0322,397,1900,322,47.49951129843937,40.55691177156062,308.94357693,pellet,10.529,81.169,38.206,119.375,44.756754945002456,43.29966812499754
JPL09,ASH,34.161591,-118.127696,64.34594595,176.3675676,37.2,5.264864865,0.0464,0.104,0.0233,463.99999999999994,1040,233,85.892296696056,-21.546350746055992,399.65405404999996,pellet,69.698,51.202,24.101,75.303,-26.096050488428613,90.44199643842862
JPL11,ASH,34.189899,-118.168567,51.76817289,503.0255403,53.45776031,6.326129666,0.0413,0.234,0.0293,413.00000000000006,2340,293,56.66793766204934,-4.899764772049338,361.23182711000004,pellet,89.189,65.441,30.803,96.244,7.569964182597889,44.19820870740212
JPL15,ASH,34.175306,-118.1755,61.40461216,487.966457,58.16561845,5.34591195,0.051,0.23,0.0269,509.99999999999994,2300,269,112.25152249143457,-50.84691033143457,448.59538783999994,pellet,92.349,67.956,31.987,99.943,13.516699690363849,47.88791246963615
JPL18,ASH,34.171063,-118.186769,44.82206406,367.6512456,46.83274021,5.213523132,0.0383,0.297,0.0312,383,2970,312,39.47713823028069,5.344925829719315,338.17793594,pellet,60.703,44.62,21.002,65.622,-41.65981000469849,86.4818740646985
JPL25,ASH,34.162417,-118.10011,55.34909972,174.6050294,60.99307895,10.41981573,0.0257,0.069,0.0228,257,690.0000000000001,228,-32.7242193831476,88.0733191031476,201.65090028,pellet,61.098,44.878,21.124,66.002,-41.04889908473335,96.39799880473335
JPL29,ASH,34.1835037,-118.0829862,61.12195122,153.1341463,69.2195122,6.573170732,0.0308,0.076,0.0337,308,760,337,-3.499860349140909,64.6218115691409,246.87804878,pellet,76.928,56.451,26.571,83.022,-13.686520511557699,74.8084717315577
JPL33,ASH,34.175049,-118.06999,46.57352941,425.5,57.22058824,9.161764706,0.0284,0.188,0.0356,284,1880,356,-17.252499894555818,63.82602930455582,237.42647059,pellet,58.693,43.012,20.245,63.257000000000005,-45.46192665132365,92.03545606132366
JPL43,ASH,34.17599,-118.02007,38.44266667,143.7546667,120.5866667,4.757333333,0.025,0.073,0.074,250,730,740,-36.73540591722694,75.17807258722695,211.55733333,pellet,57.019,41.865,19.705,61.57,-48.17404960390576,86.61671627390575
JPL48,ASH,34.161124,-118.057554,47.2572402,183.7819421,74.08858603,5.894378194,0.02,0,0.0303,200,0,303,-65.38673830350801,112.64397850350801,152.7427598,pellet,56.429,41.395,19.484,60.879000000000005,-49.28494288205289,96.54218308205289
JPL50,ASH,34.199831,-118.191721,48.00403226,223.0846774,59.21370968,4.045698925,0.0261,0.117,0.0319,261,1170,319,-30.432112792245107,78.43614505224511,212.99596774,pellet,71.205,52.345,24.638,76.983,-23.39518115805639,71.39921341805639
JPL51,ASH,34.202526,-118.178906,62.98435406,221.8793239,43.88573034,6.251297062,0.0369,0.087,0.0153,369,869.9999999999999,153,31.454765162121998,31.529588897878003,306.01564594,pellet,99.289,72.933,34.329,107.262,25.283165540955657,37.701188519044344
JPL58,ASH,34.175086,-118.159399,208.5216243,572.2748228,58.65876291,6.026068218,0.0442,0,0.0326,442.00000000000006,0,325.99999999999994,73.28571044609235,135.23591385390768,233.47837570000004,pellet,185.964,136.558,64.279,200.837,175.71997958237222,32.801644717627795
