Base_ID,Pb_icpms,Pb_xrf_wt,Pb_L_total,pred_FP,pred_L_total
1590,53.09668291,0.0395,165.198,41.66739737857638,1.6360260798493038
1620,54.27586207,0.0162,137.001,-91.89612826124586,-21.398148804248844
GPS03,53.07316245,0.0432,152.94400000000002,62.87705595657392,-8.374286330326902
GPS09,49.43502825,0.0419,187.611,55.425013753493694,19.9452420133632
JPL06,55.01195219,0.0171,108.652,-86.73702212065186,-44.55649273407465
JPL07,88.05642307,0.0397,214.734,42.813865409819485,42.10206456120142
JPL09,64.34594595,0.0464,154.827,81.22054445646364,-6.836060586213827
JPL11,51.76817289,0.0413,206.471,51.985609659764386,35.35200650299299
JPL15,61.40461216,0.051,192.292,107.58930917505515,23.769158480805256
JPL18,44.82206406,0.0383,126.325,34.78858919111773,-30.119390463383922
JPL25,55.34909972,0.0257,127.1,-37.43889677719816,-29.486291710496175
JPL29,61.12195122,0.0308,159.65,-8.20396198049887,-2.896144089210403
JPL33,46.57352941,0.0284,121.95,-21.96157835541618,-33.693335036137384
JPL43,38.44266667,0.025,118.589,-41.45153488654904,-36.43894136962868
JPL48,47.2572402,0.02,116.222,-70.11323566762678,-38.372547496190386
JPL50,48.00403226,0.0261,148.268,-35.14596071471193,-12.194118289685816
JPL51,62.98435406,0.0369,206.55100000000002,26.763312972415974,35.41735863232336
JPL58,208.5216243,0.0442,386.801,68.60939611278947,182.663875029766
JPL59,86.09509363,0.0486,201.20600000000002,93.83169280013784,31.051019491439412
JPL61,78.68331885,0.0474,203.786,86.95288461267918,33.158625662343155
JPL63,84.66094421,0.0472,222.973,85.80641658143608,48.83251698061075
JPL68,77.39632903,0.0405,207.05599999999998,47.39973753479194,35.82989394872116
JPL73,804.4356436,0,2504.0595000000003,-184.76003879193772,1912.2557665020263
JPL76,556.9404389,0.159,615.12,726.6820460463342,369.1780352369655
JPL77,557.4358974,0.126,800.594,537.5148208912212,520.69204567968
JPL79,448.1712627,0.274,1352.593,1385.9011640111223,971.6209211574717
JPL86,74.44794953,0.063,381.81800000000004,176.37739104964174,178.59325427410192
JPL89,67.45036573,0.0366,222.52999999999997,25.0436109255513,48.47062956444391
JPL95,58.93544734,0.0261,171.04899999999998,-35.14596071471193,6.4157174387476825
XPAH29,53.75066313,0.0183,135.103,-79.85821393319321,-22.94862807261137
XPAH20,1933.059524,0.723,2984.158,3959.7218941519027,2304.449007293358
XPAH26,82.02020202,0.0114,134.928,-119.41136101108049,-23.09158585552152
XPAH28,18528.21005,3.17,22614.855,17986.758256411344,18340.79712215454
XPAH55,27.02140309,0.0187,96.99600000000001,-77.56527787070698,-54.0782979775065
XPAH58,13.79730597,0.0113,38.71300000000001,-119.98459502670204,-101.68977489951565
