sample_id,method,element,int_cts_s,int_err,value,unit,value_err,Pb_ppm,cts_per_s,Series,Known_Pb_ppm
PBP01_pellet_A,pellet,Pb,0.051,0.009,392.0,ppm,4.9,392.0,256.261,PBP01,100
PBP01_pellet_B,pellet,Pb,0.073,0.008,386.0,ppm,5.2,386.0,239.671,PBP01,100
PBP01_pellet_C,pellet,Pb,0.062,0.008,367.0,ppm,4.8,367.0,248.048,PBP01,100
PBP01_powder_1,powder,Pb,0.045,0.009,162.0,ppm,4.3,162.0,117.592,PBP01,100
PBP01_powder_2,powder,Pb,0.034,0.009,184.0,ppm,4.2,184.0,134.755,PBP01,100
PBP01_powder_3,powder,Pb,0.063,0.009,138.0,ppm,4.3,138.0,97.488,PBP01,100
PBP02_pellet_A,pellet,Pb,0.146,0.009,0.175,%,0.001,1750.0,1062.05,PBP02,500
PBP02_pellet_B,pellet,Pb,0.164,0.01,0.171,%,0.001,1710.0000000000002,1080.461,PBP02,500
PBP02_pellet_C,pellet,Pb,0.185,0.01,0.178,%,0.001,1780.0,1133.865,PBP02,500
PBP02_powder_1,powder,Pb,0.095,0.009,0.092,%,0.001,920.0,534.873,PBP02,500
PBP02_powder_2,powder,Pb,0.094,0.009,0.087,%,0.001,869.9999999999999,519.175,PBP02,500
PBP02_powder_3,powder,Pb,0.091,0.009,0.093,%,0.001,930.0,553.264,PBP02,500
PBP03_pellet_A,pellet,Pb,0.279,0.011,0.314,%,0.001,3140.0,2007.083,PBP03,1000
PBP03_pellet_B,pellet,Pb,0.318,0.011,0.302,%,0.001,3020.0,2001.846,PBP03,1000
PBP03_pellet_C,pellet,Pb,0.313,0.011,0.306,%,0.001,3060.0,2058.211,PBP03,1000
PBP03_powder_1,powder,Pb,0.101,0.008,0.117,%,0.001,1170.0,665.617,PBP03,1000
PBP03_powder_2,powder,Pb,0.098,0.009,0.12,%,0.001,1200.0,678.617,PBP03,1000
PBP03_powder_3,powder,Pb,0.079,0.008,0.11,%,0.001,1100.0,654.224,PBP03,1000
PBP04_pellet_A,pellet,Pb,0.051,0.009,392.0,ppm,4.9,36.0,22.361,PBP04,0
PBP04_pellet_B,pellet,Pb,0.044,0.008,38.0,ppm,3.2,38.0,27.493,PBP04,0
PBP04_pellet_C,pellet,Pb,0.0,,29.0,ppm,3.4,29.0,20.193,PBP04,0
PBP04_powder_1,powder,Pb,0.0,0.0,17.0,ppm,3.5,0.0,10.241,PBP04,0
PBP04_powder_2,powder,Pb,0.0,0.0,31.0,ppm,3.1,31.0,23.371,PBP04,0
PBP04_powder_3,powder,Pb,0.0,0.0,21.0,ppm,3.0,21.0,16.849,PBP04,0
