method,response,response_type,formula_rhs,is_multi,n,intercept,slope,r_squared,adj_r2,RMSE_ppm,AIC,BIC
pellet,"Pb_Lb1,Lb2 (multi)",Intensity,Pb_Lb1_cps + Pb_Lb2_cps,TRUE,12,-16.407595201463938,NA,0.9986592331036944,0.9983612849045154,14.415924144062679,106.09452733111931,108.03415393027132
pellet,"Pb_Lb1,Lb3 (multi)",Intensity,Pb_Lb1_cps + Pb_Lb3_cps,TRUE,12,-26.616764106469503,NA,0.9979896972009591,0.9975429632456166,17.652108481746694,110.95505048411135,112.89467708326336
pellet,Pb_Lb4,Intensity,I(Pb_Lb4_cps),FALSE,12,-23.623501557079646,7.003276085432357,0.997888902488644,0.9976777927375085,18.0892264693703,109.54212171778514,110.99684166714914
pellet,Pb_Lb2,Intensity,I(Pb_Lb2_cps),FALSE,12,-23.686220432262026,1.442208009668119,0.9978737242997611,0.9976610967297371,18.154138193179204,109.6280896212424,111.0828095706064
pellet,Pb_Lb1+Lb2,Intensity,I(Pb_Lb1_cps + Pb_Lb2_cps),FALSE,12,-23.731583601721372,0.4618099288655245,0.9978634261428582,0.997649768757144,18.1980479133614,109.68606873665541,111.14078868601942
pellet,Pb_Lb1,Intensity,I(Pb_Lb1_cps),FALSE,12,-23.7529417426393,0.6793423772184582,0.9978585520108348,0.9976444072119184,18.218793547340315,109.71341296802655,111.16813291739055
pellet,Pb_Lb1+Lb2+Lb3+Lb4,Intensity,I(Pb_Lb1_cps + Pb_Lb2_cps + Pb_Lb3_cps + Pb_Lb4_cps),FALSE,12,-23.610082567894047,0.40033242037484834,0.9978538476011879,0.9976392323613067,18.238794417830427,109.73974608366649,111.1944660330305
pellet,Pb_Lb1+Lb3,Intensity,I(Pb_Lb1_cps + Pb_Lb3_cps),FALSE,12,-23.577054906525046,0.6017741719714821,0.9978422934188972,0.9976265227607869,18.287824366800216,109.80417687530075,111.25889682466476
pellet,Pb_Lb3,Intensity,I(Pb_Lb3_cps),FALSE,12,-22.19886854648559,5.2701680089602965,0.9976838887392648,0.9974522776131913,18.947222630611193,110.65430138311837,112.10902133248237
pellet,FP_concentration,FP,I(FP_value_ppm),FALSE,12,-27.197323152963552,0.3263539519885131,0.9950812730712122,0.9945894003783334,27.611640189639612,119.69222311246475,121.14694306182875
powder,"Pb_Lb1,Lb3 (multi)",Intensity,Pb_Lb1_cps + Pb_Lb3_cps,TRUE,11,-61.71767512188337,NA,0.9374980465989997,0.9218725582487497,97.86084808148591,140.05467187662643,141.64625296781992
powder,"Pb_Lb1,Lb2 (multi)",Intensity,Pb_Lb1_cps + Pb_Lb2_cps,TRUE,11,-74.99716907312984,NA,0.9279540282754847,0.9099425353443559,105.06716921906064,141.6178444850741,143.2094255762676
powder,FP_concentration,FP,I(FP_value_ppm),FALSE,11,-47.67325198305653,0.7916154879294709,0.9127745013355479,0.90308277926172,115.60694112675708,141.72095970376833,142.91464552216345
powder,Pb_Lb1,Intensity,I(Pb_Lb1_cps),FALSE,11,-70.6956192922418,1.88378751124742,0.9043220404598601,0.8936911560665112,121.07880672098158,142.73836356434,143.93204938273513
powder,Pb_Lb1+Lb3,Intensity,I(Pb_Lb1_cps + Pb_Lb3_cps),FALSE,11,-70.69075888586438,1.668900309910148,0.90428855601125,0.8936539511236111,121.0999918635448,142.74221256466788,143.935898383063
powder,Pb_Lb1+Lb2,Intensity,I(Pb_Lb1_cps + Pb_Lb2_cps),FALSE,11,-70.66641984023082,1.2806341158528696,0.9042434471036017,0.893603830115113,121.12852578086147,142.7473956553293,143.94108147372444
powder,Pb_Lb1+Lb2+Lb3+Lb4,Intensity,I(Pb_Lb1_cps + Pb_Lb2_cps + Pb_Lb3_cps + Pb_Lb4_cps),FALSE,11,-70.66057280050686,1.110283999914314,0.9042189964654707,0.8935766627394118,121.14398937382902,142.75020405516395,143.94388987355907
powder,Pb_Lb4,Intensity,I(Pb_Lb4_cps),FALSE,11,-70.58194551152444,19.434168359111613,0.9041010972216478,0.8934456635796086,121.21852603379988,142.76373590490815,143.95742172330327
powder,Pb_Lb2,Intensity,I(Pb_Lb2_cps),FALSE,11,-70.60417371558064,3.9997144801951623,0.9040761313073373,0.8934179236748192,121.23430376590213,142.7665992256376,143.96028504403273
powder,Pb_Lb3,Intensity,I(Pb_Lb3_cps),FALSE,11,-70.65267673090968,14.630240744683379,0.904027906289709,0.8933643403218988,121.26477476272532,142.77212800486188,143.965813823257
