sample_id,method,line_symbol,energy_keV,cts_per_s,error
GPS03,powder,Pb_La1,10.55,105.518,5.423
GPS03,powder,Pb_Lb1,12.613,77.109,3.963
GPS03,powder,Pb_Lb2,12.621,36.295,1.865
GPS03,powder,Pb_Lb3,12.793,9.917,0.51
GPS03,powder,Pb_Lb4,12.306,7.483,0.385
JPL40,powder,Pb_La1,10.55,75.788,5.385
JPL40,powder,Pb_Lb1,12.613,55.5,3.943
JPL40,powder,Pb_Lb2,12.621,26.123,1.856
JPL40,powder,Pb_Lb3,12.793,7.139,0.507
JPL40,powder,Pb_Lb4,12.306,5.384,0.383
JPL40,pellet,Pb_La1,10.55,75.043,2.361
JPL40,pellet,Pb_Lb1,12.613,55.048,1.732
JPL40,pellet,Pb_Lb2,12.621,25.911,0.815
JPL40,pellet,Pb_Lb3,12.793,7.082,0.223
JPL40,pellet,Pb_Lb4,12.306,5.34,0.168
GPS03,pellet,Pb_La1,10.55,73.599,2.411
GPS03,pellet,Pb_Lb1,12.613,53.951,1.767
GPS03,pellet,Pb_Lb2,12.621,25.394,0.832
GPS03,pellet,Pb_Lb3,12.793,6.94,0.227
GPS03,pellet,Pb_Lb4,12.306,5.234,0.171
1590,powder,Pb_La1,10.55,98.933,2.339
1590,powder,Pb_La2,10.449,10.893,0.257
1590,powder,Pb_Lb1,12.613,72.377,1.711
1590,powder,Pb_Lb2,12.621,34.067,0.805
1590,powder,Pb_Lb3,12.793,9.309,0.22
1590,powder,Pb_Lb4,12.306,7.023,0.166
1590,powder,Pb_Lg1,14.764,18.495,0.437
1590,powder,Pb_Ll,9.184,4.154,0.098
sample_id,method,line_symbol,energy_keV,cts_per_s,error
GPS09,powder,Pb_La1,10.55,102.816,5.552
GPS09,powder,Pb_La2,10.449,11.32,0.611
GPS09,powder,Pb_Lb1,12.613,75.242,4.063
GPS09,powder,Pb_Lb2,12.621,35.416,1.912
GPS09,powder,Pb_Lb3,12.793,9.678,0.523
GPS09,powder,Pb_Lb4,12.306,7.301,0.394
GPS09,powder,Pb_Lg1,14.764,19.234,1.039
GPS09,powder,Pb_Ll,9.184,4.315,0.233
sample_id,method,line_symbol,energy_keV,cts_per_s,error
GPS05,powder,Pb_La1,10.55,51.305,5.089
GPS05,powder,Pb_La2,10.449,5.644,0.56
GPS05,powder,Pb_Lb1,12.613,37.987,3.768
GPS05,powder,Pb_Lb2,12.621,17.08,1.774
GPS05,powder,Pb_Lb3,12.793,4.89,0.485
GPS05,powder,Pb_Lb4,12.306,3.681,0.365
GPS05,powder,Pb_Lg1,14.764,9.785,0.971
GPS05,powder,Pb_Ll,9.184,2.121,0.21
sample_id,method,line_symbol,energy_keV,cts_per_s,error
1620,pellet,Pb_La1,10.55,65.864,2.456
1620,pellet,Pb_La2,10.449,7.25,0.27
1620,pellet,Pb_Lb1,12.613,48.37,1.804
1620,pellet,Pb_Lb2,12.621,22.767,0.849
1620,pellet,Pb_Lb3,12.793,6.223,0.232
1620,pellet,Pb_Lb4,12.306,4.691,0.175
1620,pellet,Pb_Lg1,14.764,12.389,0.462
1620,pellet,Pb_Ll,9.184,2.751,0.103
sample_id,method,line_symbol,energy_keV,cts_per_s,error
1620,powder,Pb_La1,10.55,45.775,5.683
1620,powder,Pb_La2,10.449,5.04,0.626
1620,powder,Pb_Lb1,12.613,33.511,4.161
1620,powder,Pb_Lb2,12.621,15.773,1.958
1620,powder,Pb_Lb3,12.793,4.31,0.535
1620,powder,Pb_Lb4,12.306,3.251,0.404
1620,powder,Pb_Lg1,14.764,8.575,1.065
1620,powder,Pb_Ll,9.184,1.919,0.238
GPS09,pellet,Pb_La1,10.55,90.205,2.45
GPS09,pellet,Pb_La2,10.449,9.929,0.27
GPS09,pellet,Pb_Lb1,12.613,66.231,1.799
GPS09,pellet,Pb_Lb2,12.621,31.175,0.847
GPS09,pellet,Pb_Lb3,12.793,8.521,0.231
GPS09,pellet,Pb_Lb4,12.306,6.424,0.174
GPS09,pellet,Pb_Lg1,14.764,16.957,0.461
GPS09,pellet,Pb_Ll,9.184,3.766,0.102
,,,,,
JPL09,powder,Pb_La1,10.55,112.431,5.937
JPL09,powder,Pb_La2,10.449,12.379,0.654
JPL09,powder,Pb_Lb1,12.613,82.266,4.344
JPL09,powder,Pb_Lb2,12.621,38.722,2.045
JPL09,powder,Pb_Lb3,12.793,10.581,0.559
JPL09,powder,Pb_Lb4,12.306,7.982,0.422
JPL09,powder,Pb_Lg1,14.764,21.023,1.11
JPL09,powder,Pb_Ll,9.184,4.72,0.249
,,,,,
JPL11,pellet,Pb_La1,10.55,89.189,2.474
JPL11,pellet,Pb_La2,10.449,9.818,0.272
JPL11,pellet,Pb_Lb1,12.613,65.441,1.815
JPL11,pellet,Pb_Lb2,12.621,30.803,0.854
JPL11,pellet,Pb_Lb3,12.793,8.419,0.234
JPL11,pellet,Pb_Lb4,12.306,6.348,0.176
JPL11,pellet,Pb_Lg1,14.764,16.75,0.465
JPL11,pellet,Pb_Ll,9.184,3.745,0.104
,,,,,
JPL11,powder,Pb_La1,10.55,97.953,5.411
JPL11,powder,Pb_La2,10.449,10.784,0.596
JPL11,powder,Pb_Lb1,12.613,71.716,3.961
JPL11,powder,Pb_Lb2,12.621,33.756,1.865
JPL11,powder,Pb_Lb3,12.793,9.225,0.51
JPL11,powder,Pb_Lb4,12.306,6.958,0.384
JPL11,powder,Pb_Lg1,14.764,18.337,1.013
JPL11,powder,Pb_Ll,9.184,4.127,0.228
,,,,,
JPL15,pellet,Pb_La1,10.55,92.349,2.365
JPL15,pellet,Pb_La2,10.449,10.164,0.26
JPL15,pellet,Pb_Lb1,12.613,67.956,1.74
JPL15,pellet,Pb_Lb2,12.621,31.987,0.819
JPL15,pellet,Pb_Lb3,12.793,8.744,0.224
JPL15,pellet,Pb_Lb4,12.306,6.59,0.169
JPL15,pellet,Pb_Lg1,14.764,17.424,0.446
JPL15,pellet,Pb_Ll,9.184,3.855,0.099
JPL09,pellet,Pb_La1,10.55,69.698,2.454
JPL09,pellet,Pb_La2,10.449,7.672,0.27
JPL09,pellet,Pb_Lb1,12.613,51.202,1.803
JPL09,pellet,Pb_Lb2,12.621,24.101,0.849
JPL09,pellet,Pb_Lb3,12.793,6.587,0.232
JPL09,pellet,Pb_Lb4,12.306,4.966,0.175
JPL09,pellet,Pb_Lg1,14.764,13.118,0.462
JPL09,pellet,Pb_Ll,9.184,2.91,0.102
,,,,,
JPL25,pellet,Pb_La1,10.55,61.098,2.232
JPL25,pellet,Pb_La2,10.449,6.726,0.246
JPL25,pellet,Pb_Lb1,12.613,44.878,1.639
JPL25,pellet,Pb_Lb2,12.621,21.124,0.772
JPL25,pellet,Pb_Lb3,12.793,5.774,0.211
JPL25,pellet,Pb_Lb4,12.306,4.353,0.159
JPL25,pellet,Pb_Lg1,14.764,11.5,0.42
JPL25,pellet,Pb_Ll,9.184,2.55,0.093
,,,,,
JPL18,pellet,Pb_La1,10.55,60.703,2.396
JPL18,pellet,Pb_La2,10.449,6.681,0.264
JPL18,pellet,Pb_Lb1,12.613,44.62,1.761
JPL18,pellet,Pb_Lb2,12.621,21.002,0.829
JPL18,pellet,Pb_Lb3,12.793,5.741,0.227
JPL18,pellet,Pb_Lb4,12.306,4.327,0.171
JPL18,pellet,Pb_Lg1,14.764,11.438,0.451
JPL18,pellet,Pb_Ll,9.184,2.541,0.1
,,,,,
JPL06,pellet,Pb_La1,10.55,52.197,2.278
JPL06,pellet,Pb_La2,10.449,5.745,0.251
JPL06,pellet,Pb_Lb1,12.613,38.387,1.675
JPL06,pellet,Pb_Lb2,12.621,18.068,0.789
JPL06,pellet,Pb_Lb3,12.793,4.939,0.216
JPL06,pellet,Pb_Lb4,12.306,3.723,0.162
JPL06,pellet,Pb_Lg1,14.764,9.844,0.43
JPL06,pellet,Pb_Ll,9.184,2.176,0.095
,,,,,
JPL07,pellet,Pb_La1,10.55,10.529,2.556
JPL07,pellet,Pb_La2,10.449,1.166,0.281
JPL07,pellet,Pb_Lb1,12.613,81.169,1.877
JPL07,pellet,Pb_Lb2,12.621,38.206,0.883
JPL07,pellet,Pb_Lb3,12.793,10.442,0.241
JPL07,pellet,Pb_Lb4,12.306,7.873,0.182
JPL07,pellet,Pb_Lg1,14.764,20.779,0.48
JPL07,pellet,Pb_Ll,9.184,4.631,0.107
JPL29,powder,Pb_La1,10.55,65.792,5.397
JPL29,powder,Pb_La2,10.449,7.243,0.594
JPL29,powder,Pb_Lb1,12.613,48.192,3.953
JPL29,powder,Pb_Lb2,12.621,22.683,1.861
JPL29,powder,Pb_Lb3,12.793,6.199,0.508
JPL29,powder,Pb_Lb4,12.306,4.675,0.384
JPL29,powder,Pb_Lg1,14.764,12.333,1.012
JPL29,powder,Pb_Ll,9.184,2.756,0.226
,,,,,
JPL33,powder,Pb_La1,10.55,64.548,5.642
JPL33,powder,Pb_La2,10.449,7.108,0.621
JPL33,powder,Pb_Lb1,12.613,47.144,4.121
JPL33,powder,Pb_Lb2,12.621,22.19,1.94
JPL33,powder,Pb_Lb3,12.793,6.063,0.53
JPL33,powder,Pb_Lb4,12.306,4.575,0.4
JPL33,powder,Pb_Lg1,14.764,12.044,1.053
JPL33,powder,Pb_Ll,9.184,2.723,0.238
,,,,,
JPL28,powder,Pb_La1,10.55,73.478,3.013
JPL28,powder,Pb_La2,10.449,8.09,0.332
JPL28,powder,Pb_Lb1,12.613,53.812,2.207
JPL28,powder,Pb_Lb2,12.621,25.329,1.039
JPL28,powder,Pb_Lb3,12.793,6.922,0.284
JPL28,powder,Pb_Lb4,12.306,5.221,0.214
JPL28,powder,Pb_Lg1,14.764,13.768,0.565
JPL28,powder,Pb_Ll,9.184,3.08,0.126
,,,,,
JPL28,pellet,Pb_La1,10.55,76.522,3.323
JPL28,pellet,Pb_La2,10.449,8.423,0.256
JPL28,pellet,Pb_Lb1,12.613,56.174,1.705
JPL28,pellet,Pb_Lb2,12.621,26.441,0.803
JPL28,pellet,Pb_Lb3,12.793,7.227,0.219
JPL28,pellet,Pb_Lb4,12.306,5.449,0.165
JPL28,pellet,Pb_Lg1,14.764,14.385,0.437
JPL28,pellet,Pb_Ll,9.184,3.197,0.097
,,,,,
JPL29,pellet,Pb_La1,10.55,76.928,2.276
JPL29,pellet,Pb_La2,10.449,8.468,0.251
JPL29,pellet,Pb_Lb1,12.613,56.451,1.67
JPL29,pellet,Pb_Lb2,12.621,26.571,0.786
JPL29,pellet,Pb_Lb3,12.793,7.262,0.215
JPL29,pellet,Pb_Lb4,12.306,5.476,0.162
JPL29,pellet,Pb_Lg1,14.764,14.452,0.428
