ID,method,Pb_La1_cps,Pb_La1_err_cps,Pb_La2_cps,Pb_La2_err_cps,Pb_Lb1_cps,Pb_Lb1_err_cps,Pb_Lb2_cps,Pb_Lb2_err_cps,Pb_Lb3_cps,Pb_Lb3_err_cps,Pb_Lb4_cps,Pb_Lb4_err_cps,Pb_FP_ppm,Pb_FP_err,Pb_prediction,
1590,powder,98.933,2.339,10.893,0.257,72.377,1.711,34.067,0.805,9.309,0.22,7.023,0.166,306,7.2,72.9,
1601,powder,45.032,2.888,4.957,0.318,33.079,2.122,15.57,0.999,4.256,0.273,3.208,0.206,181,11.7,6.4,
1606,pellet,39.905,2.163,4.392,0.238,29.318,1.589,13.8,0.748,3.772,0.204,2.844,0.154,108,5.8,5.3,
1606,powder,32.486,2.508,3.573,0.276,24.127,1.863,11.357,0.877,3.106,0.24,2.337,0.18,85,6.6,-11.3,
1620,pellet,65.864,2.456,7.25,0.27,48.37,1.804,22.767,0.849,6.223,0.232,4.691,0.175,178,6.7,37.4,
1620,powder,45.775,5.683,5.04,0.626,33.511,4.161,15.773,1.958,4.31,0.535,3.251,0.404,151,18.7,10.7,
1639,pellet,107.232,2.542,11.802,0.28,78.887,1.87,37.132,0.88,10.15,0.241,7.65,0.181,242,5.7,89.5,
1639,powder,121.678,3.551,13.394,0.391,89.28,2.606,42.024,1.227,11.485,0.335,8.66,0.253,312,9.1,95.5,
1642,pellet,685.954,3.965,75.508,0.436,503.136,2.908,236.868,1.369,64.722,0.374,48.809,0.282,1930,10,827.6,
GPS03,pellet,73.599,2.411,NA,NA,53.951,1.767,25.394,0.832,6.94,0.227,5.234,0.171,220,7.2,46.9,
GPS03,powder,105.518,5.423,NA,NA,77.109,3.963,36.295,1.865,9.917,0.51,7.483,0.385,401,20.7,82.0,
GPS05,powder,51.305,5.089,5.644,0.56,37.987,3.768,17.08,1.774,4.89,0.485,3.681,0.365,194,19.2,7.9,
GPS09,pellet,90.205,2.45,9.929,0.27,66.231,1.799,31.175,0.847,8.521,0.231,6.424,0.174,240,6.5,68.1,
GPS09,powder,102.816,5.552,11.32,0.611,75.242,4.063,35.416,1.912,9.678,0.523,7.301,0.394,389,21,76.4,
JPL06,pellet,52.197,2.278,5.745,0.251,38.387,1.675,18.068,0.789,4.939,0.216,3.723,0.162,168,7.3,20.4,
