ID,EFA.ID,EFA.ID.XRF,EFA.ID.ICPMS,alq.type,Lat,Lon,xrf-powder-date,xrf-pellet-date,icpms-date
1590,NA,1590_bkB.S,1590_bkB.A,ASH,34.1399091,-118.0888207,2/19/25,7/15/25,
1601,NA,NA,1601,ASH,34.13625,-118.127,NA,NA,
1620,NA,1620_bkB.S,1620_bkB.S.A,ASH,34.17194,-118.123503,2/20/25,7/15/25,
GPS02,NA,GPS02_bkB.S,GPS02_bkB.S.A,ASH,34.130429,-118.135441,NA,NA,
GPS03,NA,GPS03_bkB.S,GPS03_bkB.S.A,ASH,34.13004,-118.144,3/13/25,7/15/25,
GPS05,NA,GPS05_bkB.S,GPS05_bkB.S.A,ASH,34.142425,-118.136055,3/13/25,NA,
GPS09,NA,GPS09_bkB.S,GPS09_bkB.S.A,ASH,34.15316,-118.146214,10-Mar,7/15/25,
JPL06,JPL06_bkA,JPL06_bkB.S,JPL06_bkB.S.A,ASH,34.176361,-118.110278,4/24/26,7/15/25,
JPL07,JPL07_bkA,JPL07_bkB.S,JPL07_bkB.S.A,ASH,34.161926,-118.162948,4/24/26,7/15/25,
JPL09,JPL09_bkA,JPL09_bkB.S,JPL09_bkB.S.A,ASH,34.161591,-118.127696,3/13/25,7/15/25,
JPL11,JPL11_bkA,JPL11_bkB.S,JPL11_bkB.S.A,ASH,34.189899,-118.168567,3/13/25,7/15/25,
JPL15,JPL15_bkA,JPL15_bkB.S,JPL15_bkB.S.A,ASH,34.175306,-118.1755,4/24/26,7/15/25,
JPL18,JPL18_bkA,JPL18_bkB.S,JPL18_bkB.S.A,ASH,34.171063,-118.186769,4/24/26,7/15/25,
JPL25,JPL25,JPL25_bkB.S,JPL25_bkB.S.A,ASH,34.162417,-118.10011,4/24/26,15-Jul,
JPL29,JPL29,JPL29_bkB.S,JPL29_bkB.S.A,ASH,34.1835037,-118.0829862,3/13/25,7/15/25,
JPL33,JPL33_bkA,JPL33_bkB.S,JPL33_bkB.S.A,ASH,34.175049,-118.06999,3/10/25,7/15/25,
JPL43,JPL43_bkA,JPL43_bkB.S,JPL43_bkB.S.A,ASH,34.17599,-118.02007,3/10/25,7/14/25,
JPL48,JPL48_bkA,JPL48_bkB.S,JPL48_bkB.S.A,ASH,34.161124,-118.057554,3/13/25,7/15/25,
JPL50,JPL50_bkA,JPL50_bkB.S,JPL50_bkB.S.A,ASH,34.199831,-118.191721,3/10/25,7/14/25,
JPL51,JPL51_bkA,JPL51_bkB.S,JPL51_bkB.S.A,ASH,34.202526,-118.178906,3/7/25,7/15/25,
JPL52,JPL52_bkA,JPL52_bkB.S,NA,ASH,34.186943,-118.188036,3/7/25,7/15/25,
JPL58,JPL58_bkA,JPL58_bkB.S,JPL58_bkB.S.A,ASH,34.175086,-118.159399,4/14/25,7/15/25,
JPL59,JPL59_bkA,JPL59_bkB.S,JPL59_bkB.S.A,ASH,34.173628,-118.144892,4/24/26,7/15/25,
JPL61,JPL61,JPL61_bkB.S,JPL61_bkB.S.A,ASH,34.16643,-118.135338,3/7/25,7/15/25,
JPL63,JPL63_bkA,JPL63_bkB.S,JPL63_bkB.S.A,ASH,34.165413,-118.154636,3/10/25,7/15/25,
JPL67,JPL68,JPL68_bkB.S,JPL68,ASH,34.19871117,-118.1630706,4/24/26,7/14/25,
JPL73,JPL73_bkA,JPL73_bkB.S,JPL73_bkB.S.A,ASH,34.188432,-118.130156,4/24/26,7/14/25,
JPL76,JPL76_bkA,JPL76_bkB.S,JPL76,ASH,34.191261,-118.145178,4/24/26,7/15/25,
JPL77,JPL77_bkA,JPL77_bkB.S,JPL77_bkB.S.A,ASH,34.189415,-118.146334,3/10/25,7/15/25,
JPL79,JPL79_bkA,JPL79_bkB.S,JPL79,ASH,34.199635,-118.146431,3/7/25,7/14/25,
JPL86,JPL86_bkA,JPL86_bkB.S,JPL86_bkB.S.A,ASH,34.200775,-118.128921,3/7/25,7/15/25,
JPL89,JPL89_bkA,JPL89_bkB.S,JPL89_bkB.S.A,ASH,34.127434,-118.19433,3/10/25,7/15/25,
JPL94,JPL94_bkA,JPL94_bkB.S,NA,ASH,34.149165,-118.127954,3/10/25,7/15/25,
JPL95,JPL95_bkA,JPL95_bkB.S,JPL95_bkB.S.A,ASH,34.149446,-118.118895,3/10/25,7/15/25,
XPAH17,NA,NA,XPAH-17,ASH,34.17331,-118.041,NA,NA,
XPAH29,NA,XPAH29_bkB.S,XPAH-29,ASH,34.18834,-118.11,3/7/25,7/15/25,
XPAH20,NA,XPAH20_bkB.S,XPAH20_bkB.S.A,ASH,34.191078,-118.154297,3/7/25,7/15/25,
XPAH26,NA,XPAH26_bkB.S,XPAH26_bkB.S.A,ASH,34.19516,-118.154653,14-Mar,7/15/25,
XPAH28,NA,XPAH28_bkB.S,XPAH28_bkB.S.A,ASH,34.206473,-118.135615,3/14/25,7/15/25,
XPAH55,NA,XPAH55_bkB.S,XPAH55_bkB.S.A,SOIL,34.19345,-118.10439,3/14/25,7/15/25,
XPAH58,NA,XPAH58_bkB.S,XPAH58_bkB.S.A,ASH,34.177179,-118.097225,3/14/25,7/15/25,
1637,NA,NA,1637,SOIL,34.19102,-118.154,NA,NA,
1643,NA,NA,1643,SOIL,34.20643,-118.136,NA,NA,
1648,NA,NA,1648,SOIL,34.1361087,-118.1256508,NA,NA,
