arm,threshold,TP,FN,FP,TN,n_pos,n_neg,sens,sens_lo,sens_hi,spec,spec_lo,spec_hi,acc,acc_lo,acc_hi
pellet_intensity,80,10,1,2,21,11,23,0.9090909090909091,0.6226415635484045,0.9837678271141154,0.9130434782608695,0.7320401892425634,0.9758199955157796,0.9117647058823529,0.7703951343719114,0.9695340563253515
powder_intensity,80,10,1,5,18,11,23,0.9090909090909091,0.6226415635484045,0.9837678271141154,0.782608695652174,0.5809651698373599,0.9033602197341379,0.8235294117647058,0.6648626260015725,0.9165103095462769
pellet_FP,80,8,3,1,22,11,23,0.7272727272727273,0.434354698823871,0.9025394070997511,0.9565217391304348,0.7900884492974114,0.9922833338565469,0.8823529411764706,0.7337915722962817,0.9532855333511766
powder_FP,80,10,1,6,16,11,22,0.9090909090909091,0.6226415635484045,0.9837678271141154,0.7272727272727273,0.5184826598759762,0.8684923971201053,0.7878787878787878,0.6224835500784931,0.8932397846697919
pellet_intensity,200,6,1,0,27,7,27,0.8571428571428571,0.48687217072568123,0.9743203756552564,1,0.8754449702581331,1,0.9705882352941176,0.8508442670731409,0.9947890937237311
powder_intensity,200,6,1,0,27,7,27,0.8571428571428571,0.48687217072568123,0.9743203756552564,1,0.8754449702581331,1,0.9705882352941176,0.8508442670731409,0.9947890937237311
pellet_FP,200,6,1,0,27,7,27,0.8571428571428571,0.48687217072568123,0.9743203756552564,1,0.8754449702581331,1,0.9705882352941176,0.8508442670731409,0.9947890937237311
powder_FP,200,6,1,0,26,7,26,0.8571428571428571,0.48687217072568123,0.9743203756552564,1,0.8712710781407849,1,0.9696969696969697,0.8468127461788107,0.9946305894631281
pellet_intensity,320,6,0,0,28,6,28,1,0.6096657120978348,1,1,0.8793566952341545,1,1,0.8984854458466762,1
powder_intensity,320,6,0,0,28,6,28,1,0.6096657120978348,1,1,0.8793566952341545,1,1,0.8984854458466762,1
pellet_FP,320,6,0,0,28,6,28,1,0.6096657120978348,1,1,0.8793566952341545,1,1,0.8984854458466762,1
powder_FP,320,5,1,0,27,6,27,0.8333333333333334,0.4364971778135299,0.9699466302516934,1,0.8754449702581331,1,0.9696969696969697,0.8468127461788107,0.9946305894631281
pellet_intensity,500,4,1,1,28,5,29,0.8,0.3755346297625255,0.9637758913675698,0.9655172413793104,0.8282447812067973,0.9938867857072374,0.9411764705882353,0.8090639309571901,0.9837173447898773
powder_intensity,500,3,2,1,28,5,29,0.6,0.23072428127601297,0.8823792257673521,0.9655172413793104,0.8282447812067973,0.9938867857072374,0.9117647058823529,0.7703951343719114,0.9695340563253515
pellet_FP,500,3,2,1,28,5,29,0.6,0.23072428127601297,0.8823792257673521,0.9655172413793104,0.8282447812067973,0.9938867857072374,0.9117647058823529,0.7703951343719114,0.9695340563253515
powder_FP,500,3,2,1,27,5,28,0.6,0.23072428127601297,0.8823792257673521,0.9642857142857143,0.8228780225664669,0.9936674801509624,0.9090909090909091,0.7642739435353028,0.9685960584754183
pellet_intensity,800,3,0,1,30,3,31,1,0.4385029682449546,1,0.967741935483871,0.838058948352751,0.9942827784745831,0.9705882352941176,0.8508442670731409,0.9947890937237311
powder_intensity,800,3,0,1,30,3,31,1,0.4385029682449546,1,0.967741935483871,0.838058948352751,0.9942827784745831,0.9705882352941176,0.8508442670731409,0.9947890937237311
pellet_FP,800,3,0,0,31,3,31,1,0.4385029682449546,1,1,0.889744604539564,1,1,0.8984854458466762,1
powder_FP,800,3,0,1,29,3,30,1,0.4385029682449546,1,0.9666666666666667,0.8332960900859084,0.9940914096183876,0.9696969696969697,0.8468127461788107,0.9946305894631281
pellet_intensity,1000,2,0,1,31,2,32,1,0.3423802275066532,1,0.96875,0.8425573617998745,0.994462139835997,0.9705882352941176,0.8508442670731409,0.9947890937237311
powder_intensity,1000,2,0,1,31,2,32,1,0.3423802275066532,1,0.96875,0.8425573617998745,0.994462139835997,0.9705882352941176,0.8508442670731409,0.9947890937237311
pellet_FP,1000,2,0,1,31,2,32,1,0.3423802275066532,1,0.96875,0.8425573617998745,0.994462139835997,0.9705882352941176,0.8508442670731409,0.9947890937237311
powder_FP,1000,2,0,1,30,2,31,1,0.3423802275066532,1,0.967741935483871,0.838058948352751,0.9942827784745831,0.9696969696969697,0.8468127461788107,0.9946305894631281
