ID,Lat,Lon,Sample_Type,Pb_ICPMS_ppm,XRF_Pellet,XRF_Powder,XRF_Validation
XPAH58,34.1772,-118.0972,Ash,14,TRUE,TRUE,TRUE
XPAH55,34.1934,-118.1044,Soil,27,TRUE,TRUE,TRUE
JPL43,34.176,-118.0201,Ash,38,TRUE,TRUE,TRUE
JPL18,34.1711,-118.1868,Ash,45,TRUE,TRUE,TRUE
JPL33,34.175,-118.07,Ash,47,TRUE,TRUE,TRUE
JPL48,34.1611,-118.0576,Ash,47,TRUE,TRUE,TRUE
JPL50,34.1998,-118.1917,Ash,48,TRUE,TRUE,TRUE
GPS09,34.1532,-118.1462,Ash,49,TRUE,TRUE,TRUE
JPL11,34.1899,-118.1686,Ash,52,TRUE,TRUE,TRUE
GPS03,34.13,-118.144,Ash,53,TRUE,TRUE,TRUE
1620,34.1719,-118.1235,Ash,54,TRUE,TRUE,TRUE
XPAH29,34.1883,-118.11,Ash,54,TRUE,TRUE,TRUE
JPL06,34.1764,-118.1103,Ash,55,TRUE,TRUE,TRUE
JPL25,34.1624,-118.1001,Ash,55,TRUE,TRUE,TRUE
JPL95,34.1494,-118.1189,Ash,59,TRUE,TRUE,TRUE
JPL15,34.1753,-118.1755,Ash,61,TRUE,TRUE,TRUE
JPL29,34.1835,-118.083,Ash,61,TRUE,TRUE,TRUE
JPL51,34.2025,-118.1789,Ash,63,TRUE,TRUE,TRUE
JPL09,34.1616,-118.1277,Ash,64,TRUE,TRUE,TRUE
JPL89,34.1274,-118.1943,Ash,67,TRUE,TRUE,TRUE
JPL86,34.2008,-118.1289,Ash,74,TRUE,TRUE,TRUE
JPL68,34.1987,-118.1631,Ash,77,TRUE,TRUE,TRUE
JPL61,34.1664,-118.1353,Ash,79,TRUE,TRUE,TRUE
XPAH26,34.1952,-118.1547,Ash,82,TRUE,TRUE,TRUE
JPL63,34.1654,-118.1546,Ash,85,TRUE,TRUE,TRUE
JPL59,34.1736,-118.1449,Ash,86,TRUE,TRUE,TRUE
JPL07,34.1619,-118.1629,Ash,88,TRUE,TRUE,TRUE
JPL58,34.1751,-118.1594,Ash,209,TRUE,TRUE,TRUE
JPL79,34.1996,-118.1464,Ash,448,TRUE,TRUE,TRUE
JPL76,34.1913,-118.1452,Ash,557,TRUE,TRUE,TRUE
JPL77,34.1894,-118.1463,Ash,557,TRUE,TRUE,TRUE
JPL73,34.1884,-118.1302,Ash,804,TRUE,TRUE,TRUE
XPAH20,34.1911,-118.1543,Ash,1933,TRUE,TRUE,TRUE
XPAH28,34.2065,-118.1356,Ash,18528,TRUE,TRUE,TRUE
1648,34.1361,-118.1257,Soil,11,FALSE,FALSE,FALSE
1643,34.2064,-118.136,Soil,25,FALSE,FALSE,FALSE
XPAH17,34.1733,-118.041,Ash,30,FALSE,FALSE,FALSE
GPS02,34.1304,-118.1354,Ash,43,FALSE,FALSE,FALSE
1590,34.1399,-118.0888,Ash,53,FALSE,TRUE,FALSE
1601,34.1362,-118.127,Ash,54,FALSE,TRUE,FALSE
GPS05,34.1424,-118.1361,Ash,62,FALSE,TRUE,FALSE
1637,34.191,-118.154,Soil,113,FALSE,FALSE,FALSE
