"Threshold (ppm)","Method","True Positive","True Negative","False Positive","False Negative"
"80","Pellet + Intensity (cts/s)",9,18,5,2
"","Powder + Intensity (cts/s)",6,11,8,1
"","Pellet + FP (wt.%)",10,1,22,1
"","Powder + FP (wt.%)",7,0,19,0
"200","Pellet + Intensity (cts/s)",7,26,1,0
"","Powder + Intensity (cts/s)",5,18,3,0
"","Pellet + FP (wt.%)",6,12,15,1
"","Powder + FP (wt.%)",5,7,14,0
"320","Pellet + Intensity (cts/s)",6,28,0,0
"","Powder + Intensity (cts/s)",4,22,0,0
"","Pellet + FP (wt.%)",6,25,3,0
"","Powder + FP (wt.%)",4,13,9,0
"500","Pellet + Intensity (cts/s)",5,28,1,0
"","Powder + Intensity (cts/s)",3,22,1,0
"","Pellet + FP (wt.%)",5,28,1,0
"","Powder + FP (wt.%)",3,22,1,0
"800","Pellet + Intensity (cts/s)",3,30,1,0
"","Powder + Intensity (cts/s)",2,22,2,0
"","Pellet + FP (wt.%)",3,28,3,0
"","Powder + FP (wt.%)",2,22,2,0
"1000","Pellet + Intensity (cts/s)",2,30,2,0
"","Powder + Intensity (cts/s)",2,22,2,0
"","Pellet + FP (wt.%)",2,28,4,0
"","Powder + FP (wt.%)",2,22,2,0
