Sample,Method,Ag_ppm,Al,As_ppm,Ba,Ba_ppm,Bi_ppm,Br,Br_ppm,Ca,Cd_ppm,Ce_ppm,Cl,Co_ppm,Cr_ppm,Cs_ppm,Cu,Cu_ppm,Fe,Ga_ppm,Ge_ppm,I_ppm,In_ppm,Ir_ppm,K,La_ppm,Mg,Mn,Mn_ppm,Mo,Mo_ppm,Na,Nb_ppm,Ni_ppm,O,Os_ppm,P,Pb,Pb_ppm,Pd_ppm,Rb_ppm,Re_ppm,Rh_ppm,Ru_ppm,S,S_ppm,Sb_ppm,Si,Sn_ppm,Sr,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti,Ti_ppm,U_ppm,V_ppm,Y_ppm,Zn,Zn_ppm,Zr,Zr_ppm
1590,powder,25.0,8.064,14.0,0.056,,,,,5.534,,,,,73.0,,,135.0,8.561,50.0,,,,,7.071,,1.542,0.198,,,,,30.0,54.0,43.726,,0.163,,306.0,,237.0,,,,0.261,,,23.371,46.0,0.058,,,73.0,51.0,1.158,,,227.0,56.0,0.066,,,336.0
1601,powder,,1.496,33.0,,,,,,28.675,,,,,,,,250.0,5.437,34.0,,,,,12.168,,3.067,0.609,,,19.0,,,53.0,35.007,,0.882,,181.0,,115.0,,,,0.363,,,11.274,,0.212,,,,,0.633,,,,27.0,0.1,,,55.0
1606,pellet,,3.432,,0.265,,30.0,0.064,,11.075,,,0.466,62.0,100.0,,0.063,,1.207,42.0,,,,,1.446,,1.809,,358.0,,,,14.0,37.0,46.555,,,,108.0,,143.0,,19.0,,0.631,,38.0,31.079,54.0,,361.0,,69.0,,0.463,,,,16.0,1.281,,,195.0
1606,powder,,7.226,,,326.0,,,19.0,18.814,,,0.767,,88.0,,,230.0,0.696,33.0,,,,,0.627,,1.872,,288.0,,,,13.0,20.0,44.194,,0.494,,85.0,,20.0,,,,0.122,,,23.852,,,307.0,,,36.0,0.634,,,,20.0,0.539,,,154.0
1620,pellet,,4.079,18.0,0.075,,,,,3.216,,,,,70.0,,,103.0,5.456,39.0,,,,,5.478,,0.968,0.134,,,,,29.0,38.0,46.996,,0.098,,178.0,,198.0,,,,0.148,,,32.565,,,477.0,,,,0.583,,,135.0,63.0,,391.0,,307.0
1620,powder,,8.178,37.0,,,,,,6.161,,,,,,,,165.0,8.554,54.0,,,,,7.464,,1.64,0.213,,,,,21.0,60.0,43.402,,0.165,,151.0,,201.0,,,,0.275,,,22.757,,,442.0,,,,0.993,,,,51.0,0.053,,,264.0
1639,pellet,,4.758,12.0,0.091,,,,,3.205,,,,,72.0,,,74.0,3.98,30.0,,,,,5.586,,0.762,0.086,,,,,15.0,38.0,47.425,,0.139,,242.0,,132.0,,,,0.229,,,32.962,34.0,0.06,,,,,0.529,,,175.0,41.0,0.058,,,428.0
1639,powder,,7.424,17.0,0.107,,,,,5.197,,,,,,,,110.0,5.493,38.0,,,53.0,,7.204,,1.562,0.135,,,,,14.0,49.0,44.963,,0.149,,312.0,,178.0,,,,0.495,,,26.101,55.0,0.071,,,,,0.9,,,,60.0,0.075,,,358.0
1642,pellet,,3.195,,0.162,,,,,10.27,,,0.337,,99.0,203.0,,239.0,3.82,29.0,,,,,7.068,,1.771,0.144,,,,,21.0,61.0,43.828,,0.205,0.193,,,14.0,,,,0.499,,,26.94,58.0,0.083,,,,,1.564,,,289.0,43.0,0.369,,,326.0
GPS03,pellet,,4.219,18.0,,,,,,8.507,,,,,,,,156.0,6.349,42.0,5.0,,,,5.08,,1.529,0.252,,,25.0,,19.0,60.0,44.839,,0.244,,220.0,,183.0,,,,0.169,,,27.821,37.0,0.115,,,,,0.626,,,235.0,54.0,0.059,,,253.0
