Sample,Method,Element,Line,Energy_keV,Intensity_Cnts,Error_int,Relative_Int
1590,powder,Pb,La1,10.55,98.933,2.339,1.0
1590,powder,Pb,La2,10.449,10.893,0.257,0.11
1590,powder,Pb,Lb1,12.613,72.377,1.711,0.732
1590,powder,Pb,Lb2,12.621,34.067,0.805,0.344
1590,powder,Pb,Lb3,12.793,9.309,0.22,0.094
1590,powder,Pb,Lb4,12.306,7.023,0.166,0.071
1590,powder,Pb,Lg1,14.764,18.495,0.437,0.187
1590,powder,Pb,Ll,9.184,4.154,0.098,0.042
1601,powder,Pb,La1,10.55,45.032,2.888,1.0
1601,powder,Pb,La2,10.449,4.957,0.318,0.11
1601,powder,Pb,Lb1,12.613,33.079,2.122,0.735
1601,powder,Pb,Lb2,12.621,15.57,0.999,0.346
1601,powder,Pb,Lb3,12.793,4.256,0.273,0.095
1601,powder,Pb,Lb4,12.306,3.208,0.206,0.071
1601,powder,Pb,Lg1,14.764,8.483,0.544,0.188
1601,powder,Pb,Ll,9.184,1.883,0.121,0.042
1606,pellet,Pb,La1,10.55,39.905,2.163,1.0
1606,pellet,Pb,La2,10.449,4.392,0.238,0.11
1606,pellet,Pb,Lb1,12.613,29.318,1.589,0.735
1606,pellet,Pb,Lb2,12.621,13.8,0.748,0.346
1606,pellet,Pb,Lb3,12.793,3.772,0.204,0.095
1606,pellet,Pb,Lb4,12.306,2.844,0.154,0.071
1606,pellet,Pb,Lg1,14.764,7.478,0.405,0.187
1606,pellet,Pb,Ll,9.184,1.803,0.098,0.045
1606,powder,Pb,La1,10.55,32.486,2.508,1.0
1606,powder,Pb,La2,10.449,3.573,0.276,0.11
1606,powder,Pb,Lb1,12.613,24.127,1.863,0.743
1606,powder,Pb,Lb2,12.621,11.357,0.877,0.35
1606,powder,Pb,Lb3,12.793,3.106,0.24,0.096
1606,powder,Pb,Lb4,12.306,2.337,0.18,0.072
1606,powder,Pb,Lg1,14.764,6.224,0.481,0.192
1606,powder,Pb,Ll,9.184,1.356,0.105,0.042
1620,pellet,Pb,La1,10.55,65.864,2.456,1.0
1620,pellet,Pb,La2,10.449,7.25,0.27,0.11
1620,pellet,Pb,Lb1,12.613,48.37,1.804,0.734
1620,pellet,Pb,Lb2,12.621,22.767,0.849,0.346
1620,pellet,Pb,Lb3,12.793,6.223,0.232,0.094
1620,pellet,Pb,Lb4,12.306,4.691,0.175,0.071
1620,pellet,Pb,Lg1,14.764,12.389,0.462,0.188
1620,pellet,Pb,Ll,9.184,2.751,0.103,0.042
1620,powder,Pb,La1,10.55,45.775,5.683,1.0
1620,powder,Pb,La2,10.449,5.04,0.626,0.11
1620,powder,Pb,Lb1,12.613,33.511,4.161,0.732
1620,powder,Pb,Lb2,12.621,15.773,1.958,0.345
1620,powder,Pb,Lb3,12.793,4.31,0.535,0.094
1620,powder,Pb,Lb4,12.306,3.251,0.404,0.071
1620,powder,Pb,Lg1,14.764,8.575,1.065,0.187
1620,powder,Pb,Ll,9.184,1.919,0.238,0.042
1639,pellet,Pb,La1,10.55,107.232,2.542,1.0
1639,pellet,Pb,La2,10.449,11.802,0.28,0.11
1639,pellet,Pb,Lb1,12.613,78.887,1.87,0.736
1639,pellet,Pb,Lb2,12.621,37.132,0.88,0.346
1639,pellet,Pb,Lb3,12.793,10.15,0.241,0.095
1639,pellet,Pb,Lb4,12.306,7.65,0.181,0.071
1639,pellet,Pb,Lg1,14.764,20.212,0.479,0.188
1639,pellet,Pb,Ll,9.184,4.476,0.106,0.042
1639,powder,Pb,La1,10.55,121.678,3.551,1.0
1639,powder,Pb,La2,10.449,13.394,0.391,0.11
1639,powder,Pb,Lb1,12.613,89.28,2.606,0.734
1639,powder,Pb,Lb2,12.621,42.024,1.227,0.345
1639,powder,Pb,Lb3,12.793,11.485,0.335,0.094
1639,powder,Pb,Lb4,12.306,8.66,0.253,0.071
1639,powder,Pb,Lg1,14.764,22.844,0.667,0.188
1639,powder,Pb,Ll,9.184,5.097,0.149,0.042
1642,pellet,Pb,La1,10.55,685.954,3.965,1.0
1642,pellet,Pb,La2,10.449,75.508,0.436,0.11
1642,pellet,Pb,Lb1,12.613,503.136,2.908,0.733
1642,pellet,Pb,Lb2,12.621,236.868,1.369,0.345
1642,pellet,Pb,Lb3,12.793,64.722,0.374,0.094
1642,pellet,Pb,Lb4,12.306,48.809,0.282,0.071
1642,pellet,Pb,Lg1,14.764,127.848,0.739,0.186
1642,pellet,Pb,Ll,9.184,29.137,0.168,0.042
GPS03,pellet,Pb,La1,10.55,73.599,2.411,1.0
GPS03,pellet,Pb,Lb1,12.613,53.951,1.767,0.733
GPS03,pellet,Pb,Lb2,12.621,25.394,0.832,0.345
GPS03,pellet,Pb,Lb3,12.793,6.94,0.227,0.094
GPS03,pellet,Pb,Lb4,12.306,5.234,0.171,0.071
GPS03,powder,Pb,La1,10.55,105.518,5.423,1.0
GPS03,powder,Pb,Lb1,12.613,77.109,3.963,0.731
GPS03,powder,Pb,Lb2,12.621,36.295,1.865,0.344
GPS03,powder,Pb,Lb3,12.793,9.917,0.51,0.094
GPS03,powder,Pb,Lb4,12.306,7.483,0.385,0.071
GPS05,powder,Pb,La1,10.55,51.305,5.089,1.0
GPS05,powder,Pb,La2,10.449,5.644,0.56,0.11
GPS05,powder,Pb,Lb1,12.613,37.987,3.768,0.74
GPS05,powder,Pb,Lb2,12.621,17.08,1.774,0.333
GPS05,powder,Pb,Lb3,12.793,4.89,0.485,0.095
GPS05,powder,Pb,Lb4,12.306,3.681,0.365,0.072
GPS05,powder,Pb,Lg1,14.764,9.785,0.971,0.191
GPS05,powder,Pb,Ll,9.184,2.121,0.21,0.041
GPS09,pellet,Pb,La1,10.55,90.205,2.45,1.0
GPS09,pellet,Pb,La2,10.449,9.929,0.27,0.11
GPS09,pellet,Pb,Lb1,12.613,66.231,1.799,0.734
GPS09,pellet,Pb,Lb2,12.621,31.175,0.847,0.346
GPS09,pellet,Pb,Lb3,12.793,8.521,0.231,0.094
GPS09,pellet,Pb,Lb4,12.306,6.424,0.174,0.071
GPS09,pellet,Pb,Lg1,14.764,16.957,0.461,0.188
GPS09,pellet,Pb,Ll,9.184,3.766,0.102,0.042
GPS09,powder,Pb,La1,10.55,102.816,5.552,1.0
GPS09,powder,Pb,La2,10.449,11.32,0.611,0.11
GPS09,powder,Pb,Lb1,12.613,75.242,4.063,0.732
GPS09,powder,Pb,Lb2,12.621,35.416,1.912,0.344
GPS09,powder,Pb,Lb3,12.793,9.678,0.523,0.094
GPS09,powder,Pb,Lb4,12.306,7.301,0.394,0.071
GPS09,powder,Pb,Lg1,14.764,19.234,1.039,0.187
GPS09,powder,Pb,Ll,9.184,4.315,0.233,0.042
JPL06,pellet,Pb,La1,10.55,52.197,2.278,1.0
JPL06,pellet,Pb,La2,10.449,5.745,0.251,0.11
JPL06,pellet,Pb,Lb1,12.613,38.387,1.675,0.735
JPL06,pellet,Pb,Lb2,12.621,18.068,0.789,0.346
JPL06,pellet,Pb,Lb3,12.793,4.939,0.216,0.095
JPL06,pellet,Pb,Lb4,12.306,3.723,0.162,0.071
JPL06,pellet,Pb,Lg1,14.764,9.844,0.43,0.189
JPL06,pellet,Pb,Ll,9.184,2.176,0.095,0.042
JPL06,powder,Pb,La1,10.55,54.738,2.951,1.0
JPL06,powder,Pb,La2,10.449,6.026,0.325,0.11
JPL06,powder,Pb,Lb1,12.613,40.183,2.166,0.734
JPL06,powder,Pb,Lb2,12.621,18.91,1.02,0.345
JPL06,powder,Pb,Lb3,12.793,5.17,0.279,0.094
JPL06,powder,Pb,Lb4,12.306,3.897,0.21,0.071
JPL06,powder,Pb,Lg1,14.764,10.3,0.555,0.188
JPL06,powder,Pb,Ll,9.184,2.287,0.123,0.042
JPL07,pellet,Pb,La1,10.55,10.529,2.556,1.0
JPL07,pellet,Pb,La2,10.449,1.166,0.281,0.111
JPL07,pellet,Pb,Lb1,12.613,81.169,1.877,7.709
JPL07,pellet,Pb,Lb2,12.621,38.206,0.883,3.629
JPL07,pellet,Pb,Lb3,12.793,10.442,0.241,0.992
JPL07,pellet,Pb,Lb4,12.306,7.873,0.182,0.748
JPL07,pellet,Pb,Lg1,14.764,20.779,0.48,1.974
JPL07,pellet,Pb,Ll,9.184,4.631,0.107,0.44
JPL07,powder,Pb,La1,10.55,106.062,3.321,1.0
JPL07,powder,Pb,La2,10.449,11.676,0.366,0.11
JPL07,powder,Pb,Lb1,12.613,77.758,2.434,0.733
JPL07,powder,Pb,Lb2,12.621,36.601,1.146,0.345
JPL07,powder,Pb,Lb3,12.793,10.003,0.313,0.094
JPL07,powder,Pb,Lb4,12.306,7.543,0.236,0.071
JPL07,powder,Pb,Lg1,14.764,19.904,0.623,0.188
JPL07,powder,Pb,Ll,9.184,4.457,0.14,0.042
JPL09,pellet,Pb,La1,10.55,69.698,2.454,1.0
JPL09,pellet,Pb,La2,10.449,7.672,0.27,0.11
JPL09,pellet,Pb,Lb1,12.613,51.202,1.803,0.735
JPL09,pellet,Pb,Lb2,12.621,24.101,0.849,0.346
JPL09,pellet,Pb,Lb3,12.793,6.587,0.232,0.095
JPL09,pellet,Pb,Lb4,12.306,4.966,0.175,0.071
JPL09,pellet,Pb,Lg1,14.764,13.118,0.462,0.188
JPL09,pellet,Pb,Ll,9.184,2.91,0.102,0.042
JPL09,powder,Pb,La1,10.55,112.431,5.937,1.0
JPL09,powder,Pb,La2,10.449,12.379,0.654,0.11
JPL09,powder,Pb,Lb1,12.613,82.266,4.344,0.732
JPL09,powder,Pb,Lb2,12.621,38.722,2.045,0.344
JPL09,powder,Pb,Lb3,12.793,10.581,0.559,0.094
JPL09,powder,Pb,Lb4,12.306,7.982,0.422,0.071
JPL09,powder,Pb,Lg1,14.764,21.023,1.11,0.187
JPL09,powder,Pb,Ll,9.184,4.72,0.249,0.042
JPL11,pellet,Pb,La1,10.55,89.189,2.474,1.0
JPL11,pellet,Pb,La2,10.449,9.818,0.272,0.11
JPL11,pellet,Pb,Lb1,12.613,65.441,1.815,0.734
JPL11,pellet,Pb,Lb2,12.621,30.803,0.854,0.345
JPL11,pellet,Pb,Lb3,12.793,8.419,0.234,0.094
JPL11,pellet,Pb,Lb4,12.306,6.348,0.176,0.071
JPL11,pellet,Pb,Lg1,14.764,16.75,0.465,0.188
JPL11,pellet,Pb,Ll,9.184,3.745,0.104,0.042
JPL11,powder,Pb,La1,10.55,97.953,5.411,1.0
JPL11,powder,Pb,La2,10.449,10.784,0.596,0.11
JPL11,powder,Pb,Lb1,12.613,71.716,3.961,0.732
JPL11,powder,Pb,Lb2,12.621,33.756,1.865,0.345
JPL11,powder,Pb,Lb3,12.793,9.225,0.51,0.094
JPL11,powder,Pb,Lb4,12.306,6.958,0.384,0.071
JPL11,powder,Pb,Lg1,14.764,18.337,1.013,0.187
JPL11,powder,Pb,Ll,9.184,4.127,0.228,0.042
JPL15,pellet,Pb,La1,10.55,92.349,2.365,1.0
JPL15,pellet,Pb,La2,10.449,10.164,0.26,0.11
JPL15,pellet,Pb,Lb1,12.613,67.956,1.74,0.736
JPL15,pellet,Pb,Lb2,12.621,31.987,0.819,0.346
JPL15,pellet,Pb,Lb3,12.793,8.744,0.224,0.095
JPL15,pellet,Pb,Lb4,12.306,6.59,0.169,0.071
JPL15,pellet,Pb,Lg1,14.764,17.424,0.446,0.189
JPL15,pellet,Pb,Ll,9.184,3.855,0.099,0.042
JPL15,powder,Pb,La1,10.55,50.699,2.871,1.0
JPL15,powder,Pb,La2,10.449,5.582,0.316,0.11
JPL15,powder,Pb,Lb1,12.613,37.144,2.103,0.733
JPL15,powder,Pb,Lb2,12.621,17.483,0.99,0.345
JPL15,powder,Pb,Lb3,12.793,4.778,0.271,0.094
JPL15,powder,Pb,Lb4,12.306,3.604,0.204,0.071
JPL15,powder,Pb,Lg1,14.764,9.509,0.538,0.188
JPL15,powder,Pb,Ll,9.184,2.123,0.12,0.042
JPL18,pellet,Pb,La1,10.55,60.703,2.396,1.0
JPL18,pellet,Pb,La2,10.449,6.681,0.264,0.11
JPL18,pellet,Pb,Lb1,12.613,44.62,1.761,0.735
JPL18,pellet,Pb,Lb2,12.621,21.002,0.829,0.346
JPL18,pellet,Pb,Lb3,12.793,5.741,0.227,0.095
JPL18,pellet,Pb,Lb4,12.306,4.327,0.171,0.071
JPL18,pellet,Pb,Lg1,14.764,11.438,0.451,0.188
JPL18,pellet,Pb,Ll,9.184,2.541,0.1,0.042
JPL18,powder,Pb,La1,10.55,78.879,3.203,1.0
JPL18,powder,Pb,La2,10.449,8.685,0.353,0.11
JPL18,powder,Pb,Lb1,12.613,57.714,2.344,0.732
JPL18,powder,Pb,Lb2,12.621,27.165,1.103,0.344
JPL18,powder,Pb,Lb3,12.793,7.423,0.301,0.094
JPL18,powder,Pb,Lb4,12.306,5.6,0.227,0.071
JPL18,powder,Pb,Lg1,14.764,14.76,0.599,0.187
JPL18,powder,Pb,Ll,9.184,3.317,0.135,0.042
JPL25,pellet,Pb,La1,10.55,61.098,2.232,1.0
JPL25,pellet,Pb,La2,10.449,6.726,0.246,0.11
JPL25,pellet,Pb,Lb1,12.613,44.878,1.639,0.735
JPL25,pellet,Pb,Lb2,12.621,21.124,0.772,0.346
JPL25,pellet,Pb,Lb3,12.793,5.774,0.211,0.095
JPL25,pellet,Pb,Lb4,12.306,4.353,0.159,0.071
JPL25,pellet,Pb,Lg1,14.764,11.5,0.42,0.188
JPL25,pellet,Pb,Ll,9.184,2.55,0.093,0.042
