sample_id,method,Ag_value_ppm,Ag_err_ppm,Al_value_ppm,Al_err_ppm,As_value_ppm,As_err_ppm,Ba_value_ppm,Ba_err_ppm,Bi_value_ppm,Bi_err_ppm,Br_value_ppm,Br_err_ppm,Ca_value_ppm,Ca_err_ppm,Cd_value_ppm,Cd_err_ppm,Ce_value_ppm,Ce_err_ppm,Cl_value_ppm,Cl_err_ppm,Co_value_ppm,Co_err_ppm,Cr_value_ppm,Cr_err_ppm,Cs_value_ppm,Cs_err_ppm,Cu_value_ppm,Cu_err_ppm,Fe_value_ppm,Fe_err_ppm,Ga_value_ppm,Ga_err_ppm,Ge_value_ppm,Ge_err_ppm,I_value_ppm,I_err_ppm,In_value_ppm,In_err_ppm,Ir_value_ppm,Ir_err_ppm,K_value_ppm,K_err_ppm,La_value_ppm,La_err_ppm,Mg_value_ppm,Mg_err_ppm,Mn_value_ppm,Mn_err_ppm,Mo_value_ppm,Mo_err_ppm,Na_value_ppm,Na_err_ppm,Nb_value_ppm,Nb_err_ppm,Ni_value_ppm,Ni_err_ppm,O_value_ppm,O_err_ppm,Os_value_ppm,Os_err_ppm,P_value_ppm,P_err_ppm,Pb_value_ppm,Pb_err_ppm,Pd_value_ppm,Pd_err_ppm,Rb_value_ppm,Rb_err_ppm,Re_value_ppm,Re_err_ppm,Rh_value_ppm,Rh_err_ppm,Ru_value_ppm,Ru_err_ppm,S_value_ppm,S_err_ppm,Sb_value_ppm,Sb_err_ppm,Si_value_ppm,Si_err_ppm,Sn_value_ppm,Sn_err_ppm,Sr_value_ppm,Sr_err_ppm,Ta_value_ppm,Ta_err_ppm,Te_value_ppm,Te_err_ppm,Th_value_ppm,Th_err_ppm,Ti_value_ppm,Ti_err_ppm,U_value_ppm,U_err_ppm,V_value_ppm,V_err_ppm,Y_value_ppm,Y_err_ppm,Zn_value_ppm,Zn_err_ppm,Zr_value_ppm,Zr_err_ppm
1590,powder,25,3.5,80640,650,14,2.5,560,40,NA,NA,NA,NA,55340,290,NA,NA,NA,NA,NA,NA,NA,NA,73,12.9,NA,NA,135,3,85610,190,50,2.1,NA,NA,NA,NA,NA,NA,NA,NA,70710,640,NA,NA,15420,1660,1980,20,NA,NA,NA,NA,30,2.6,54,3.1,437260,890,NA,NA,1630,60,306,7.2,NA,NA,237,2.9,NA,NA,NA,NA,NA,NA,2610,30,NA,NA,233710,610,46,6.8,580,0,NA,NA,73,14.1,51,4.6,11580,90,NA,NA,227,36.5,56,3,660,10,336,3.6
1601,powder,NA,NA,14960,1020,33,3.8,NA,NA,NA,NA,NA,NA,286750,1390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,6.2,54370,270,34,3,NA,NA,NA,NA,NA,NA,NA,NA,121680,1010,NA,NA,30670,3890,6090,60,19,4.1,NA,NA,NA,NA,53,4.6,350070,1540,NA,NA,8820,160,181,11.7,NA,NA,115,4.4,NA,NA,NA,NA,NA,NA,3630,50,NA,NA,112740,710,NA,NA,2120,10,NA,NA,NA,NA,NA,NA,6330,130,NA,NA,NA,NA,27,4.4,1000,10,55,6.1
1606,pellet,NA,NA,34320,510,NA,NA,2650,50,30,3.7,640,0,110750,420,NA,NA,NA,NA,4660,30,62,11.5,100,12.5,NA,NA,630,10,12070,40,42,2.3,NA,NA,NA,NA,NA,NA,NA,NA,14460,520,NA,NA,18090,1710,358,11.5,NA,NA,NA,NA,14,2.7,37,2.4,465550,940,NA,NA,NA,NA,108,5.8,NA,NA,143,3,NA,NA,19,3.6,NA,NA,6310,50,38,9.1,310790,720,54,8.1,361,2.8,NA,NA,69,17.2,NA,NA,4630,80,NA,NA,NA,NA,16,3,12810,30,195,3.4
1606,powder,NA,NA,72260,1020,NA,NA,326,27.6,NA,NA,19,2.2,188140,830,NA,NA,NA,NA,7670,50,NA,NA,88,14.4,NA,NA,230,4.8,6960,50,33,2.5,NA,NA,NA,NA,NA,NA,NA,NA,6270,430,NA,NA,18720,2990,288,13.7,NA,NA,NA,NA,13,2.3,20,2.9,441940,1510,NA,NA,4940,40,85,6.6,NA,NA,20,2.4,NA,NA,NA,NA,NA,NA,1220,30,NA,NA,238520,1000,NA,NA,307,3.1,NA,NA,NA,NA,36,4.6,6340,110,NA,NA,NA,NA,20,2.6,5390,30,154,3.2
1620,pellet,NA,NA,40790,480,18,2.2,750,50,NA,NA,NA,NA,32160,240,NA,NA,NA,NA,NA,NA,NA,NA,70,12.1,NA,NA,103,2.6,54560,120,39,1.9,NA,NA,NA,NA,NA,NA,NA,NA,54780,700,NA,NA,9680,1270,1340,20,NA,NA,NA,NA,29,2.8,38,2.8,469960,790,NA,NA,980,40,178,6.7,NA,NA,198,2.8,NA,NA,NA,NA,NA,NA,1480,20,NA,NA,325650,630,NA,NA,477,3,NA,NA,NA,NA,NA,NA,5830,70,NA,NA,135,31.9,63,3.1,391,3.8,307,3.5
1620,powder,NA,NA,81780,970,37,5.9,NA,NA,NA,NA,NA,NA,61610,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,8.4,85540,360,54,5.4,NA,NA,NA,NA,NA,NA,NA,NA,74640,1620,NA,NA,16400,2410,2130,50,NA,NA,NA,NA,21,6.1,60,7.8,434020,1460,NA,NA,1650,90,151,18.7,NA,NA,201,7.2,NA,NA,NA,NA,NA,NA,2750,40,NA,NA,227570,940,NA,NA,442,7.4,NA,NA,NA,NA,NA,NA,9930,210,NA,NA,NA,NA,51,7.2,530,10,264,8.3
1639,pellet,NA,NA,47580,470,12,2,910,40,NA,NA,NA,NA,32050,230,NA,NA,NA,NA,NA,NA,NA,NA,72,11.1,NA,NA,74,2.1,39800,90,30,1.6,NA,NA,NA,NA,NA,NA,NA,NA,55860,670,NA,NA,7620,1170,860,10,NA,NA,NA,NA,15,2.3,38,2.3,474250,750,NA,NA,1390,40,242,5.7,NA,NA,132,2.3,NA,NA,NA,NA,NA,NA,2290,20,NA,NA,329620,610,34,6.9,600,0,NA,NA,NA,NA,NA,NA,5290,70,NA,NA,175,29.4,41,2.5,580,0,428,3.3
1639,powder,NA,NA,74240,850,17,3.3,1070,50,NA,NA,NA,NA,51970,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,3.5,54930,180,38,2.5,NA,NA,NA,NA,53,9.6,NA,NA,72040,940,NA,NA,15620,2100,1350,20,NA,NA,NA,NA,14,3.3,49,3.5,449630,1200,NA,NA,1490,80,312,9.1,NA,NA,178,3.5,NA,NA,NA,NA,NA,NA,4950,50,NA,NA,261010,870,55,9.3,710,0,NA,NA,NA,NA,NA,NA,9000,120,NA,NA,NA,NA,60,3.7,750,10,358,4.7
1642,pellet,NA,NA,31950,510,NA,NA,1620,50,NA,NA,NA,NA,102700,410,NA,NA,NA,NA,3370,20,NA,NA,99,14.5,203,32.7,239,3.7,38200,100,29,2.4,NA,NA,NA,NA,NA,NA,NA,NA,70680,670,NA,NA,17710,1660,1440,20,NA,NA,NA,NA,21,2.8,61,3,438280,880,NA,NA,2050,70,1930,10,NA,NA,14,2.8,NA,NA,NA,NA,NA,NA,4990,40,NA,NA,269400,650,58,8.5,830,0,NA,NA,NA,NA,NA,NA,15640,120,NA,NA,289,47.8,43,3.1,3690,10,326,3.8
GPS03,pellet,NA,NA,42190,510,18,2.4,NA,NA,NA,NA,NA,NA,85070,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,3.2,63490,140,42,2,5,1.6,NA,NA,NA,NA,NA,NA,50800,630,NA,NA,15290,1500,2520,20,25,3.3,NA,NA,19,3,60,3.2,448390,830,NA,NA,2440,60,220,7.2,NA,NA,183,3,NA,NA,NA,NA,NA,NA,1690,20,NA,NA,278210,620,37,8.8,1150,0,NA,NA,NA,NA,NA,NA,6260,80,NA,NA,235,33.4,54,3.3,590,0,253,4
