sample,filepath,comment,O_pct,O_ppm,O_err,Mg_pct,Mg_ppm,Mg_err,Al_pct,Al_ppm,Al_err,Si_pct,Si_ppm,Si_err,P_pct,P_ppm,P_err,S_pct,S_ppm,S_err,K_pct,K_ppm,K_err,Ca_pct,Ca_ppm,Ca_err,Ti_pct,Ti_ppm,Ti_err,Mn_pct,Mn_ppm,Mn_err,Fe_pct,Fe_ppm,Fe_err,Ni_pct,Ni_ppm,Ni_err,Cu_pct,Cu_ppm,Cu_err,Zn_pct,Zn_ppm,Zn_err,Ga_pct,Ga_ppm,Ga_err,Rb_pct,Rb_ppm,Rb_err,Sr_pct,Sr_ppm,Sr_err,Y_pct,Y_ppm,Y_err,Zr_pct,Zr_ppm,Zr_err,Nb_pct,Nb_ppm,Nb_err,Ba_pct,Ba_ppm,Ba_err,Pb_pct,Pb_ppm,Pb_err,As_pct,As_ppm,As_err,Rh_pct,Rh_ppm,Rh_err,Sn_pct,Sn_ppm,Sn_err,Te_pct,Te_ppm,Te_err,Cl_pct,Cl_ppm,Cl_err,Mo_pct,Mo_ppm,Mo_err,Ag_pct,Ag_ppm,Ag_err,I_pct,I_ppm,I_err,La_pct,La_ppm,La_err,Ce_pct,Ce_ppm,Ce_err,Er_pct,Er_ppm,Er_err,Yb_pct,Yb_ppm,Yb_err,Ta_pct,Ta_ppm,Ta_err,Th_pct,Th_ppm,Th_err,U_pct,U_ppm,U_err,Ge_pct,Ge_ppm,Ge_err,Se_pct,Se_ppm,Se_err,W_pct,W_ppm,W_err,Gd_pct,Gd_ppm,Gd_err,Hf_pct,Hf_ppm,Hf_err,Sb_pct,Sb_ppm,Sb_err,Cd_pct,Cd_ppm,Cd_err,Re_pct,Re_ppm,Re_err,Br_pct,Br_ppm,Br_err,V_pct,V_ppm,V_err,Cr_pct,Cr_ppm,Cr_err,Cs_pct,Cs_ppm,Cs_err,In_pct,In_ppm,In_err,Co_pct,Co_ppm,Co_err,Bi_pct,Bi_ppm,Bi_err,Na_pct,Na_ppm,Na_err,Ir_pct,Ir_ppm,Ir_err,Pd_pct,Pd_ppm,Pd_err,Au_pct,Au_ppm,Au_err,Ru_pct,Ru_ppm,Ru_err,Os_pct,Os_ppm,Os_err,Tm_pct,Tm_ppm,Tm_err
soil-pellet_CATS01_A,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/soil-pellet_CATS01_A.prf,soil-pellet_CATS01_19-July_01_A,47.978,479780.0,0.107,0.503,5030.0,0.164,4.71,47100.0,0.066,34.287,342870.0,0.088,0.099,990.0,0.005,0.097,970.0,0.003,5.165,51650.0,0.098,2.461,24610.0,0.031,0.487,4870.0,0.009,0.086,859.9999999999999,0.002,3.859,38590.0,0.012,0.0022,22.0,0.0003,0.004,40.0,0.0003,0.0185,185.0,0.0003,0.0028,28.0,0.0002,0.0136,136.0,0.0003,0.052,520.0,0.0,0.0044,44.0,0.0004,0.0377,377.0,0.0005,0.0021,21.0,0.0003,0.097,970.0,0.005,0.0333,333.0,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATS00_soil-portable-pill,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/CATS00_soil-portable-pill.prf,CATS_soil-portable-pill,44.227,442269.99999999994,0.124,1.625,16250.0,0.213,7.966,79660.0,0.09,24.884,248840.0,0.087,0.115,1150.0,0.008,0.158,1580.0,0.003,7.474,74740.0,0.114,4.269,42690.0,0.041,0.82,8200.0,0.013,0.168,1680.0,0.003,7.814,78140.0,0.025,0.0047,47.0,0.0005,0.0095,95.0,0.0005,0.043,430.0,0.0006,0.0059,59.0,0.0004,0.0287,287.0,0.0006,0.105,1050.0,0.001,0.0066,66.0,0.0007,0.08,800.0,0.001,0.0036,36.0,0.0006,0.137,1370.0,0.01,0.0132,132.0,0.0013,0.002,20.0,0.0004,0.0053,53.0,0.0008,0.0069,69.0,0.0018,0.0282,282.0,0.0038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fossil-fragment_CC_A,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/fossil-fragment_CC_A.prf,fossil-fragment_CC_A,44.63,446300.0,0.083,1.653,16530.0,0.156,8.684,86840.0,0.06,21.098,210980.0,0.052,3.143,31429.999999999996,0.014,0.373,3730.0,0.003,3.957,39570.0,0.044,11.788,117880.0,0.036,0.396,3960.0,0.005,0.085,850.0000000000001,0.002,2.567,25670.0,0.006,,,,0.0032,32.0,0.0002,0.0089,89.0,0.0002,0.0009,9.0,0.0001,0.0017,17.0,0.0001,0.203,2030.0000000000002,0.001,0.332,3320.0,0.001,0.0014,14.0,0.0002,0.0043,43.0,0.0002,0.083,830.0,0.003,0.0075,75.0,0.0004,0.0037,37.0,0.0001,0.0011,11.0,0.0002,0.0027,27.0,0.0005,0.0057,57.0,0.0011,0.525,5250.0,0.002,0.002,20.0,0.0002,0.001,10.0,0.0002,0.0371,371.0,0.0014,0.093,930.0,0.005,0.259,2590.0,0.008,0.027,270.0,0.0012,0.0215,215.0,0.0008,0.0016,16.0,0.0004,0.0009,9.0,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soil-pellet_CATS03_A,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/soil-pellet_CATS03_A.prf,soil-pellet_19-July_CATS03_A,47.83,478300.0,0.108,0.891,8910.0,0.169,4.347,43470.00000000001,0.066,33.931,339310.0,0.089,0.194,1940.0,0.006,0.089,890.0,0.003,4.711,47110.0,0.097,2.745,27450.0,0.032,0.491,4910.0,0.009,0.086,859.9999999999999,0.002,4.28,42800.0,0.013,0.0029,29.0,0.0003,0.0038,38.0,0.0003,0.0203,203.0,0.0004,0.0031,31.0,0.0003,0.0147,147.0,0.0004,0.057,570.0,0.0,0.0044,44.0,0.0004,0.0274,274.0,0.0005,0.002,20.0,0.0004,0.083,830.0,0.006,0.186,1860.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fossil-bulk_SC04_toe_A,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/fossil-bulk_SC04_toe_A.prf,fossil-bulk_SC04_toe_A,39.862,398620.0,1.027,,,,0.913,9130.0,0.077,5.757,57570.0,0.106,12.257,122570.0,0.212,0.31,3100.0,0.007,,,,39.61,396100.0,0.678,,,,0.16,1600.0,0.004,0.288,2880.0,0.006,,,,0.01,100.0,0.0004,0.0224,224.0,0.0006,,,,,,,0.347,3469.9999999999995,0.006,0.0136,136.0,0.0005,0.08,800.0,0.002,,,,0.193,1930.0,0.009,0.0201,201.0,0.0013,0.0118,118.0,0.0004,0.0015,15.0,0.0005,,,,,,,,,,0.0242,242.0,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,0.12,1200.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBP01_kaolinite_portable-pill,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/PBP01_kaolinite_portable-pill.prf,PBP01_kaolinite_portable-pill,48.876,488760.0,0.071,0.355,3550.0,0.081,22.07,220700.0,0.071,24.462,244620.0,0.053,0.093,930.0,0.003,0.0229,229.0,0.0011,3.387,33870.0,0.063,0.156,1560.0,0.011,0.0178,178.0,0.0026,0.0068,68.0,0.0005,0.462,4620.0,0.002,0.0004,4.0,0.0001,0.0044,44.0,0.0002,0.0038,38.0,0.0001,0.0122,122.0,0.0002,0.034,340.0,0.0002,0.0184,184.0,0.0002,0.0011,11.0,0.0002,0.0036,36.0,0.0002,0.0029,29.0,0.0002,0.0102,102.0,0.0023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB02_UCC_P,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/FB02_UCC_P.prf,FB02_UCC_Portable-pill,37.157,371569.99999999994,0.039,,,,,,,2.439,24390.0,0.031,11.489,114890.00000000001,0.033,0.186,1860.0,0.005,,,,47.009,470090.0,0.055,0.09,900.0,0.013,0.144,1440.0,0.004,0.256,2560.0,0.004,,,,0.0016,16.0,0.0005,0.0126,126.0,0.0005,,,,,,,0.386,3860.0,0.001,0.387,3870.0,0.001,0.0101,101.0,0.0008,0.0091,91.0,0.0007,0.326,3260.0,0.011,0.027,270.0,0.0017,0.0181,181.0,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,160.0,0.0021,,,,,,,0.0361,361.0,0.0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fossil-pellet_FB01_A,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/fossil-pellet_FB01_A.prf,fossil-pellet_FB01_A_blank,37.355,373549.99999999994,0.028,,,,,,,2.338,23380.0,0.012,11.784,117840.0,0.026,0.228,2280.0,0.003,,,,46.316,463160.0,0.04,0.0323,323.0,0.0076,0.357,3570.0,0.004,0.417,4170.0,0.003,,,,0.0031,31.0,0.0003,0.0102,102.0,0.0003,,,,,,,0.608,6080.0,0.001,0.0117,117.0,0.0004,0.0465,465.0,0.0007,,,,0.234,2340.0,0.007,,,,0.087,869.9999999999999,0.001,0.0033,33.0,0.0005,0.0044,44.0,0.0012,,,,,,,0.0261,261.0,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,0.127,1270.0,0.001,0.0008,8.0,0.0002,0.0009,9.0,0.0002,0.0079,79.0,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soil-pellet_CATS05_A,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/soil-pellet_CATS05_A.prf,soil-pellet_19-July_CATS05_A,47.755,477550.0,0.105,0.491,4910.0,0.16,4.625,46250.0,0.066,34.104,341040.0,0.087,0.115,1150.0,0.006,0.086,859.9999999999999,0.003,5.338,53380.0,0.098,2.555,25550.0,0.031,0.464,4640.0,0.009,0.078,780.0,0.002,3.832,38320.0,0.012,0.0032,32.0,0.0003,0.0039,39.0,0.0003,0.0295,295.0,0.0004,0.0033,33.0,0.0003,0.0135,135.0,0.0003,0.053,530.0,0.0,0.0037,37.0,0.0004,0.0379,379.0,0.0005,0.0019,19.0,0.0003,0.089,890.0,0.006,0.319,3190.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fossil-pellet_FB01_B,/Users/isaac/Documents/GitHub/PhD_Projects/Eaton-Fire-Ash/Ashes-EDXRF/EXPERT_ENG/WrkExpert/W187U/WORK/Aguilar_Isaac/fossil-pellet_FB01_B.prf,fossil-pellet_17-July_FB01_B,42.546,425460.0,0.415,,,,,,,16.735,167350.0,0.123,8.001,80010.0,0.061,0.157,1570.0,0.003,,,,31.366,313660.0,0.229,0.023,230.0,0.0051,0.207,2070.0,0.003,0.27,2700.0,0.003,,,,0.002,20.0,0.0002,0.0065,65.0,0.0002,0.0006,6.0,0.0001,,,,0.366,3660.0,0.003,0.0072,72.0,0.0003,0.0277,277.0,0.0005,,,,0.131,1310.0,0.005,,,,0.053,530.0,0.001,0.002,20.0,0.0003,0.0043,43.0,0.0008,,,,,,,0.0146,146.0,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,0.076,760.0,0.001,,,,0.0008,8.0,0.0002,0.0034,34.0,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
