sample_id,method,Pb_La1_cps,Pb_La1_err_cps,Pb_La2_cps,Pb_La2_err_cps,Pb_Lb1_cps,Pb_Lb1_err_cps,Pb_Lb2_cps,Pb_Lb2_err_cps,Pb_Lb3_cps,Pb_Lb3_err_cps,Pb_Lb4_cps,Pb_Lb4_err_cps,Pb_Lg1_cps,Pb_Lg1_err_cps,Pb_Ll_cps,Pb_Ll_err_cps
1590,powder,98.933,2.339,10.893,0.257,72.377,1.711,34.067,0.805,9.309,0.22,7.023,0.166,18.495,0.437,4.154,0.098
1601,powder,45.032,2.888,4.957,0.318,33.079,2.122,15.57,0.999,4.256,0.273,3.208,0.206,8.483,0.544,1.883,0.121
1606,pellet,39.905,2.163,4.392,0.238,29.318,1.589,13.8,0.748,3.772,0.204,2.844,0.154,7.478,0.405,1.803,0.098
1606,powder,32.486,2.508,3.573,0.276,24.127,1.863,11.357,0.877,3.106,0.24,2.337,0.18,6.224,0.481,1.356,0.105
1620,pellet,65.864,2.456,7.25,0.27,48.37,1.804,22.767,0.849,6.223,0.232,4.691,0.175,12.389,0.462,2.751,0.103
1620,powder,45.775,5.683,5.04,0.626,33.511,4.161,15.773,1.958,4.31,0.535,3.251,0.404,8.575,1.065,1.919,0.238
1639,pellet,107.232,2.542,11.802,0.28,78.887,1.87,37.132,0.88,10.15,0.241,7.65,0.181,20.212,0.479,4.476,0.106
1639,powder,121.678,3.551,13.394,0.391,89.28,2.606,42.024,1.227,11.485,0.335,8.66,0.253,22.844,0.667,5.097,0.149
1642,pellet,685.954,3.965,75.508,0.436,503.136,2.908,236.868,1.369,64.722,0.374,48.809,0.282,127.848,0.739,29.137,0.168
GPS03,pellet,73.599,2.411,NA,NA,53.951,1.767,25.394,0.832,6.94,0.227,5.234,0.171,NA,NA,NA,NA
GPS03,powder,105.518,5.423,NA,NA,77.109,3.963,36.295,1.865,9.917,0.51,7.483,0.385,NA,NA,NA,NA
GPS05,powder,51.305,5.089,5.644,0.56,37.987,3.768,17.08,1.774,4.89,0.485,3.681,0.365,9.785,0.971,2.121,0.21
GPS09,pellet,90.205,2.45,9.929,0.27,66.231,1.799,31.175,0.847,8.521,0.231,6.424,0.174,16.957,0.461,3.766,0.102
GPS09,powder,102.816,5.552,11.32,0.611,75.242,4.063,35.416,1.912,9.678,0.523,7.301,0.394,19.234,1.039,4.315,0.233
JPL06,pellet,52.197,2.278,5.745,0.251,38.387,1.675,18.068,0.789,4.939,0.216,3.723,0.162,9.844,0.43,2.176,0.095
JPL06,powder,54.738,2.951,6.026,0.325,40.183,2.166,18.91,1.02,5.17,0.279,3.897,0.21,10.3,0.555,2.287,0.123
JPL07,pellet,10.529,2.556,1.166,0.281,81.169,1.877,38.206,0.883,10.442,0.241,7.873,0.182,20.779,0.48,4.631,0.107
JPL07,powder,106.062,3.321,11.676,0.366,77.758,2.434,36.601,1.146,10.003,0.313,7.543,0.236,19.904,0.623,4.457,0.14
JPL09,pellet,69.698,2.454,7.672,0.27,51.202,1.803,24.101,0.849,6.587,0.232,4.966,0.175,13.118,0.462,2.91,0.102
JPL09,powder,112.431,5.937,12.379,0.654,82.266,4.344,38.722,2.045,10.581,0.559,7.982,0.422,21.023,1.11,4.72,0.249
JPL11,pellet,89.189,2.474,9.818,0.272,65.441,1.815,30.803,0.854,8.419,0.234,6.348,0.176,16.75,0.465,3.745,0.104
JPL11,powder,97.953,5.411,10.784,0.596,71.716,3.961,33.756,1.865,9.225,0.51,6.958,0.384,18.337,1.013,4.127,0.228
JPL15,pellet,92.349,2.365,10.164,0.26,67.956,1.74,31.987,0.819,8.744,0.224,6.59,0.169,17.424,0.446,3.855,0.099
JPL15,powder,50.699,2.871,5.582,0.316,37.144,2.103,17.483,0.99,4.778,0.271,3.604,0.204,9.509,0.538,2.123,0.12
JPL18,pellet,60.703,2.396,6.681,0.264,44.62,1.761,21.002,0.829,5.741,0.227,4.327,0.171,11.438,0.451,2.541,0.1
JPL18,powder,78.879,3.203,8.685,0.353,57.714,2.344,27.165,1.103,7.423,0.301,5.6,0.227,14.76,0.599,3.317,0.135
JPL25,pellet,61.098,2.232,6.726,0.246,44.878,1.639,21.124,0.772,5.774,0.211,4.353,0.159,11.5,0.42,2.55,0.093
JPL25,powder,50.699,2.871,5.582,0.316,37.144,2.103,17.483,0.99,4.778,0.271,3.604,0.204,9.509,0.538,2.123,0.12
JPL28,pellet,76.522,3.323,8.423,0.256,56.174,1.705,26.441,0.803,7.227,0.219,5.449,0.165,14.385,0.437,3.197,0.097
JPL28,powder,73.478,3.013,8.09,0.332,53.812,2.207,25.329,1.039,6.922,0.284,5.221,0.214,13.768,0.565,3.08,0.126
JPL29,pellet,76.928,2.276,8.468,0.251,56.451,1.67,26.571,0.786,7.262,0.215,5.476,0.162,14.452,0.428,3.214,0.095
JPL29,powder,65.792,5.397,7.243,0.594,48.192,3.953,22.683,1.861,6.199,0.508,4.675,0.384,12.333,1.012,2.756,0.226
JPL33,pellet,58.693,2.377,6.461,0.262,43.012,1.742,20.245,0.82,5.533,0.224,4.173,0.169,11.006,0.446,2.464,0.1
JPL33,powder,64.548,5.642,7.108,0.621,47.144,4.121,22.19,1.94,6.063,0.53,4.575,0.4,12.044,1.053,2.723,0.238
JPL40,pellet,75.043,2.361,8.261,0.26,55.048,1.732,25.911,0.815,7.082,0.223,5.34,0.168,14.092,0.443,3.14,0.099
JPL40,powder,75.788,5.385,8.344,0.593,55.5,3.943,26.123,1.856,7.139,0.507,5.384,0.383,14.201,1.009,3.18,0.226
JPL43,pellet,57.019,2.347,6.276,0.258,41.865,1.723,19.705,0.811,5.386,0.222,4.061,0.167,10.724,0.441,2.382,0.098
JPL43,powder,70.043,5.001,7.271,0.551,51.323,3.665,24.157,1.725,6.602,0.471,4.979,0.356,13.135,0.938,2.934,0.21
JPL48,pellet,56.429,2.335,6.212,0.257,41.395,1.713,19.484,0.806,5.325,0.22,4.015,0.166,10.599,0.439,2.359,0.098
JPL48,powder,50.409,5.102,5.546,0.561,37.343,3.779,17.577,1.779,4.807,0.486,3.618,0.366,9.619,0.973,2.082,0.211
JPL50,pellet,71.205,2.886,7.448,0.252,52.345,1.679,24.638,0.79,6.734,0.216,5.077,0.163,13.407,0.43,2.978,0.095
JPL50,powder,64.914,5.32,7.146,0.586,47.571,3.898,22.391,1.835,6.119,0.501,4.615,0.378,12.178,0.998,2.722,0.223
JPL51,pellet,99.289,3.042,10.928,0.335,72.933,2.235,34.329,1.052,9.363,0.287,7.073,0.217,18.679,0.572,4.146,0.127
JPL51,powder,99.443,5.818,10.939,0.64,73.746,4.314,34.714,2.031,9.493,0.555,7.145,0.418,18.997,1.111,4.103,0.24
JPL52,pellet,47.94,2.264,5.277,0.249,35.206,1.662,16.571,0.782,4.529,0.214,3.415,0.161,9.02,0.426,2.003,0.095
JPL52,powder,60.992,5.171,6.715,0.569,44.621,3.783,21.003,1.781,5.739,0.487,4.33,0.367,11.408,0.967,2.562,0.217
JPL58,pellet,185.964,2.697,20.47,0.297,136.558,1.981,64.279,0.932,17.568,0.255,13.245,0.192,34.922,0.507,7.848,0.114
JPL58,powder,121.828,3.424,13.411,0.377,89.356,2.511,42.06,1.182,11.495,0.323,8.668,0.244,22.871,0.643,5.117,0.144
JPL59,pellet,101.427,2.562,11.164,0.282,74.524,1.882,35.079,0.886,9.588,0.242,7.228,0.183,19.086,0.482,4.242,0.107
