EFA.ID,xrf_date,longitude,latitude,xrf_sample_id,xrf_method,xrf_subfolder,xrf_filename
1590,2025-02-19,-118.0888207,34.1399091,1590_bkA,powder,,1590_bkA.prf
1590,2025-02-19,-118.0888207,34.1399091,1590_bkB.L,powder,,1590_bkB.L.prf
1590,2025-02-19,-118.0888207,34.1399091,1590_bkB.S,powder,,1590_bkB.S.prf
1620,2025-02-19,-118.123503,34.17194,1620_bkA,powder,,1620_bkA.prf
1620,2025-02-19,-118.123503,34.17194,1620_bkB.L,powder,,1620_bkB.L.prf
1620,2025-02-19,-118.123503,34.17194,1620_bkB.s,powder,,1620_bkB.S.prf
1590,2025-02-25,-118.0888207,34.1399091,Sample 1590 Ungrinded Unsieved,powder,,1590_bkA.L.prf
1590,2025-02-25,-118.0888207,34.1399091,Sample 1590 Ungrinded Sieved,powder,,1590_bkA.S.prf
1620,2025-02-25,-118.123503,34.17194,Sample 1620 Ungrinded Unsieved,powder,,1620_bkA.L.prf
1620,2025-02-25,-118.123503,34.17194,Sample 1620 Ungrinded Sieved,powder,,1620_bkA.s.prf
JPL51,2025-03-07,-118.178906,34.202526,JPL51_bkB.S,powder,,JPL51_bkB.S.prf
JPL52,2025-03-07,,,JPL52_bkB.S,powder,,JPL52_bkB.S.prf
JPL61,2025-03-07,-118.135338,34.16643,JPL61_bkB.S,powder,,JPL61_bkB.S.prf
JPL79,2025-03-07,-118.146431,34.199635,JPL79_bkB.S,powder,,JPL79_bkB.S.prf
JPL86,2025-03-07,-118.128921,34.200775,JPL86_bkB.S,powder,,JPL86_bkB.S.prf
XPAH20,2025-03-07,-118.154297,34.191078,XPAH20_bkB.S,powder,,XPAH20_bkB.prf
XPAH29,2025-03-07,-118.11,34.18834,XPAH29_bkB.S,powder,,XPAH29_bkB.S.prf
XPAH29,2025-03-07,-118.11,34.18834,XPAH29_bkB.S,powder,,XPAH29_bkB.prf
1590,2025-03-10,-118.0888207,34.1399091,1590_bkB.S,powder,,1590.prf
1620,2025-03-10,-118.123503,34.17194,1620_bkB.S,powder,,1620.prf
GPS09,2025-03-10,-118.146214,34.15316,GPS09_bkB.S,powder,,GPS09.prf
JPL33,2025-03-10,-118.06999,34.175049,JPL33_bkB.S,powder,,JPL33.prf
JPL43,2025-03-10,-118.02007,34.17599,JPL43_bkB.s,powder,,JPL43.prf
JPL50,2025-03-10,-118.191721,34.199831,JPL50_bkB.S,powder,,JPL50.prf
JPL63,2025-03-10,-118.154636,34.165413,JPL63_bkB.S,powder,,JPL63.prf
JPL77,2025-03-10,-118.146334,34.189415,JPL77,powder,,JPL77_bkB.S.prf
JPL89,2025-03-10,-118.19433,34.127434,JPL89_bkB.S,powder,,JPL89.prf
JPL94,2025-03-10,,,JPL94_bkB.S,powder,,JPL94.prf
JPL95,2025-03-10,-118.118895,34.149446,JPL95_bkB.S,powder,,JPL95.prf
GPS03,2025-03-13,-118.144,34.13004,GPS03_bkB.S,powder,,GPS03.prf
GPS05,2025-03-13,-118.136055,34.142425,GPS05_bkB.S,powder,,GPS05.prf
JPL09,2025-03-13,-118.127696,34.161591,JPL09_bkB.S,powder,,JPL09.prf
JPL11,2025-03-13,-118.168567,34.189899,JPL11_bkB.S,powder,,JPL11.prf
JPL29,2025-03-13,-118.0829862,34.1835037,JPL29_bkB.S,powder,,JPL29.prf
JPL40,2025-03-13,,,JPL40_bkB.S,powder,,JPL40.prf
JPL48,2025-03-13,-118.057554,34.161124,JPL48_bkB.S,powder,,JPL48.prf
JPL58,2025-03-13,-118.159399,34.175086,JPL58_bkB.S,powder,,JPL58.prf
JPL28,2025-03-14,,,JPL28_bkB.S,powder,,JPL28.prf
XPAH26,2025-03-14,-118.154653,34.19516,XPAH26_bkB.S,powder,,XPAH26.prf
XPAH28,2025-03-14,-118.135615,34.206473,XPAH28_bkB.S,powder,,XPAH28.prf
XPAH55,2025-03-14,-118.10439,34.19345,XPAH55_bkB.S,powder,,XPAH55.prf
XPAH58,2025-03-14,-118.097225,34.177179,XPAH58_bkB.S,powder,,XPAH58.prf
1590,2025-04-14,-118.0888207,34.1399091,1590_B.S_1,powder,,1590_B.S_1.prf
