site,longitude,latitude,elev_dem,distance_m
COLUMNA_1_CICRA,-70.124933,-12.565267,246.0,-2166.8
COLUMNA_1_CICRA,-70.124703,-12.565267,244.0,-2141.8
COLUMNA_1_CICRA,-70.124472,-12.565267,242.0,-2116.8
COLUMNA_1_CICRA,-70.124241,-12.565267,241.0,-2091.8
COLUMNA_1_CICRA,-70.12401,-12.565267,244.0,-2066.8
COLUMNA_1_CICRA,-70.12378,-12.565267,244.0,-2041.8
COLUMNA_1_CICRA,-70.123549,-12.565267,243.0,-2016.8
COLUMNA_1_CICRA,-70.123318,-12.565267,241.0,-1991.8
COLUMNA_1_CICRA,-70.123087,-12.565267,240.0,-1966.8
COLUMNA_1_CICRA,-70.122857,-12.565267,243.0,-1941.8
COLUMNA_1_CICRA,-70.122626,-12.565267,243.0,-1916.8
COLUMNA_1_CICRA,-70.122395,-12.565267,243.0,-1891.8
COLUMNA_1_CICRA,-70.122164,-12.565267,243.0,-1866.8
COLUMNA_1_CICRA,-70.121934,-12.565267,241.0,-1841.8
COLUMNA_1_CICRA,-70.121703,-12.565267,242.0,-1816.8
COLUMNA_1_CICRA,-70.121472,-12.565267,245.0,-1791.8
COLUMNA_1_CICRA,-70.121241,-12.565267,248.0,-1766.8
COLUMNA_1_CICRA,-70.121011,-12.565267,248.0,-1741.8
COLUMNA_1_CICRA,-70.12078,-12.565267,248.0,-1716.8
COLUMNA_1_CICRA,-70.120549,-12.565267,247.0,-1691.8
COLUMNA_1_CICRA,-70.120318,-12.565267,246.0,-1666.8
COLUMNA_1_CICRA,-70.120088,-12.565267,245.0,-1641.8
COLUMNA_1_CICRA,-70.119857,-12.565267,246.0,-1616.8
COLUMNA_1_CICRA,-70.119626,-12.565267,246.0,-1591.8
COLUMNA_1_CICRA,-70.119395,-12.565267,246.0,-1566.8
COLUMNA_1_CICRA,-70.119165,-12.565267,245.0,-1541.8
COLUMNA_1_CICRA,-70.118934,-12.565267,244.0,-1516.8
COLUMNA_1_CICRA,-70.118703,-12.565267,244.0,-1491.8
COLUMNA_1_CICRA,-70.118472,-12.565267,244.0,-1466.8
COLUMNA_1_CICRA,-70.118242,-12.565267,243.0,-1441.8
COLUMNA_1_CICRA,-70.118011,-12.565267,243.0,-1416.8
COLUMNA_1_CICRA,-70.11778,-12.565267,244.0,-1391.8
COLUMNA_1_CICRA,-70.117549,-12.565267,245.0,-1366.8
COLUMNA_1_CICRA,-70.117319,-12.565267,244.0,-1341.8
COLUMNA_1_CICRA,-70.117088,-12.565267,244.0,-1316.8
COLUMNA_1_CICRA,-70.116857,-12.565267,240.0,-1291.8
COLUMNA_1_CICRA,-70.116626,-12.565267,238.0,-1266.8
COLUMNA_1_CICRA,-70.116396,-12.565267,237.0,-1241.8
COLUMNA_1_CICRA,-70.116165,-12.565267,238.0,-1216.8
COLUMNA_1_CICRA,-70.115934,-12.565267,241.0,-1191.8
COLUMNA_1_CICRA,-70.115703,-12.565267,241.0,-1166.8
COLUMNA_1_CICRA,-70.115472,-12.565267,245.0,-1141.8
COLUMNA_1_CICRA,-70.115242,-12.565267,244.0,-1116.8
COLUMNA_1_CICRA,-70.115011,-12.565267,241.0,-1091.8
COLUMNA_1_CICRA,-70.11478,-12.565267,239.0,-1066.8
COLUMNA_1_CICRA,-70.114549,-12.565267,236.0,-1041.8
COLUMNA_1_CICRA,-70.114319,-12.565267,236.0,-1016.8
COLUMNA_1_CICRA,-70.114088,-12.565267,236.0,-991.8
COLUMNA_1_CICRA,-70.113857,-12.565267,236.0,-966.8
COLUMNA_1_CICRA,-70.113626,-12.565267,235.0,-941.8
COLUMNA_1_CICRA,-70.113396,-12.565267,237.0,-916.8
COLUMNA_1_CICRA,-70.113165,-12.565267,239.0,-891.8
COLUMNA_1_CICRA,-70.112934,-12.565267,239.0,-866.8
COLUMNA_1_CICRA,-70.112703,-12.565267,241.0,-841.8
COLUMNA_1_CICRA,-70.112473,-12.565267,241.0,-816.8
COLUMNA_1_CICRA,-70.112242,-12.565267,239.0,-791.8
COLUMNA_1_CICRA,-70.112011,-12.565267,238.0,-766.8
COLUMNA_1_CICRA,-70.11178,-12.565267,237.0,-741.8
COLUMNA_1_CICRA,-70.11155,-12.565267,237.0,-716.8
COLUMNA_1_CICRA,-70.111319,-12.565267,236.0,-691.8
COLUMNA_1_CICRA,-70.111088,-12.565267,236.0,-666.8
COLUMNA_1_CICRA,-70.110857,-12.565267,236.0,-641.8
COLUMNA_1_CICRA,-70.110627,-12.565267,238.0,-616.8
COLUMNA_1_CICRA,-70.110396,-12.565267,240.0,-591.8
COLUMNA_1_CICRA,-70.110165,-12.565267,240.0,-566.8
COLUMNA_1_CICRA,-70.109934,-12.565267,240.0,-541.8
COLUMNA_1_CICRA,-70.109704,-12.565267,239.0,-516.8
COLUMNA_1_CICRA,-70.109473,-12.565267,237.0,-491.8
COLUMNA_1_CICRA,-70.109242,-12.565267,233.0,-466.8
COLUMNA_1_CICRA,-70.109011,-12.565267,216.0,-441.8
COLUMNA_1_CICRA,-70.108781,-12.565267,216.0,-416.8
COLUMNA_1_CICRA,-70.10855,-12.565267,216.0,-391.8
COLUMNA_1_CICRA,-70.108319,-12.565267,216.0,-366.8
COLUMNA_1_CICRA,-70.108088,-12.565267,216.0,-341.8
COLUMNA_1_CICRA,-70.107858,-12.565267,216.0,-316.8
COLUMNA_1_CICRA,-70.107627,-12.565267,216.0,-291.8
COLUMNA_1_CICRA,-70.107396,-12.565267,216.0,-266.8
COLUMNA_1_CICRA,-70.107165,-12.565267,216.0,-241.8
COLUMNA_1_CICRA,-70.106935,-12.565267,216.0,-216.8
COLUMNA_1_CICRA,-70.106704,-12.565267,216.0,-191.8
COLUMNA_1_CICRA,-70.106473,-12.565267,216.0,-166.8
COLUMNA_1_CICRA,-70.106242,-12.565267,216.0,-141.8
COLUMNA_1_CICRA,-70.106012,-12.565267,216.0,-116.8
COLUMNA_1_CICRA,-70.105781,-12.565267,216.0,-91.8
COLUMNA_1_CICRA,-70.10555,-12.565267,216.0,-66.8
COLUMNA_1_CICRA,-70.105319,-12.565267,216.0,-41.8
COLUMNA_1_CICRA,-70.105089,-12.565267,216.0,-16.8
COLUMNA_1_CICRA,-70.104858,-12.565267,225.0,8.2
COLUMNA_1_CICRA,-70.104627,-12.565267,225.0,33.2
COLUMNA_1_CICRA,-70.104396,-12.565267,227.0,58.2
COLUMNA_1_CICRA,-70.104166,-12.565267,233.0,83.2
COLUMNA_1_CICRA,-70.103935,-12.565267,242.0,108.2
COLUMNA_1_CICRA,-70.103704,-12.565267,252.0,133.2
COLUMNA_1_CICRA,-70.103473,-12.565267,252.0,158.2
COLUMNA_1_CICRA,-70.103243,-12.565267,262.0,183.2
COLUMNA_1_CICRA,-70.103012,-12.565267,275.0,208.2
COLUMNA_1_CICRA,-70.102781,-12.565267,283.0,233.2
COLUMNA_1_CICRA,-70.10255,-12.565267,286.0,258.2
COLUMNA_1_CICRA,-70.10232,-12.565267,286.0,283.2
COLUMNA_1_CICRA,-70.102089,-12.565267,286.0,308.2
COLUMNA_1_CICRA,-70.101858,-12.565267,287.0,333.2
COLUMNA_1_CICRA,-70.101627,-12.565267,288.0,358.2
COLUMNA_1_CICRA,-70.101397,-12.565267,289.0,383.2
COLUMNA_1_CICRA,-70.101166,-12.565267,288.0,408.2
COLUMNA_1_CICRA,-70.100935,-12.565267,286.0,433.2
COLUMNA_1_CICRA,-70.100704,-12.565267,286.0,458.2
COLUMNA_1_CICRA,-70.100474,-12.565267,286.0,483.2
COLUMNA_1_CICRA,-70.100243,-12.565267,285.0,508.2
COLUMNA_1_CICRA,-70.100012,-12.565267,282.0,533.2
COLUMNA_1_CICRA,-70.099781,-12.565267,279.0,558.2
COLUMNA_1_CICRA,-70.099551,-12.565267,279.0,583.2
COLUMNA_1_CICRA,-70.09932,-12.565267,279.0,608.2
COLUMNA_1_CICRA,-70.099089,-12.565267,279.0,633.2
COLUMNA_1_CICRA,-70.098858,-12.565267,280.0,658.2
COLUMNA_1_CICRA,-70.098628,-12.565267,279.0,683.2
COLUMNA_1_CICRA,-70.098397,-12.565267,278.0,708.2
COLUMNA_1_CICRA,-70.098166,-12.565267,277.0,733.2
COLUMNA_1_CICRA,-70.097935,-12.565267,277.0,758.2
COLUMNA_1_CICRA,-70.097705,-12.565267,277.0,783.2
COLUMNA_1_CICRA,-70.097474,-12.565267,277.0,808.2
COLUMNA_1_CICRA,-70.097243,-12.565267,276.0,833.2
COLUMNA_1_CICRA,-70.097012,-12.565267,278.0,858.2
COLUMNA_1_CICRA,-70.096782,-12.565267,281.0,883.2
COLUMNA_1_CICRA,-70.096551,-12.565267,281.0,908.2
COLUMNA_1_CICRA,-70.09632,-12.565267,282.0,933.2
COLUMNA_1_CICRA,-70.096089,-12.565267,281.0,958.2
COLUMNA_1_CICRA,-70.095859,-12.565267,281.0,983.2
COLUMNA_1_CICRA,-70.095628,-12.565267,281.0,1008.2
COLUMNA_1_CICRA,-70.095397,-12.565267,280.0,1033.2
COLUMNA_1_CICRA,-70.095166,-12.565267,280.0,1058.2
COLUMNA_1_CICRA,-70.094936,-12.565267,279.0,1083.2
COLUMNA_1_CICRA,-70.094705,-12.565267,279.0,1108.2
COLUMNA_1_CICRA,-70.094474,-12.565267,281.0,1133.2
COLUMNA_1_CICRA,-70.094243,-12.565267,282.0,1158.2
COLUMNA_1_CICRA,-70.094013,-12.565267,284.0,1183.2
COLUMNA_1_CICRA,-70.093782,-12.565267,284.0,1208.2
COLUMNA_1_CICRA,-70.093551,-12.565267,284.0,1233.2
COLUMNA_1_CICRA,-70.09332,-12.565267,283.0,1258.2
COLUMNA_1_CICRA,-70.09309,-12.565267,282.0,1283.2
COLUMNA_1_CICRA,-70.092859,-12.565267,282.0,1308.2
COLUMNA_1_CICRA,-70.092628,-12.565267,282.0,1333.2
COLUMNA_1_CICRA,-70.092397,-12.565267,282.0,1358.2
COLUMNA_1_CICRA,-70.092167,-12.565267,280.0,1383.2
COLUMNA_1_CICRA,-70.091936,-12.565267,278.0,1408.2
COLUMNA_1_CICRA,-70.091705,-12.565267,272.0,1433.2
COLUMNA_1_CICRA,-70.091474,-12.565267,266.0,1458.2
COLUMNA_1_CICRA,-70.091244,-12.565267,258.0,1483.2
COLUMNA_1_CICRA,-70.091013,-12.565267,258.0,1508.2
COLUMNA_1_CICRA,-70.090782,-12.565267,252.0,1533.2
COLUMNA_1_CICRA,-70.090551,-12.565267,247.0,1558.2
COLUMNA_1_CICRA,-70.090321,-12.565267,244.0,1583.2
COLUMNA_1_CICRA,-70.09009,-12.565267,244.0,1608.2
COLUMNA_1_CICRA,-70.089859,-12.565267,243.0,1633.2
COLUMNA_1_CICRA,-70.089628,-12.565267,243.0,1658.2
COLUMNA_1_CICRA,-70.089398,-12.565267,242.0,1683.2
COLUMNA_1_CICRA,-70.089167,-12.565267,242.0,1708.2
COLUMNA_1_CICRA,-70.088936,-12.565267,242.0,1733.2
COLUMNA_1_CICRA,-70.088705,-12.565267,241.0,1758.2
COLUMNA_1_CICRA,-70.088475,-12.565267,241.0,1783.2
COLUMNA_1_CICRA,-70.088244,-12.565267,241.0,1808.2
COLUMNA_1_CICRA,-70.088013,-12.565267,243.0,1833.2
COLUMNA_1_CICRA,-70.087782,-12.565267,245.0,1858.2
COLUMNA_1_CICRA,-70.087552,-12.565267,245.0,1883.2
COLUMNA_1_CICRA,-70.087321,-12.565267,242.0,1908.2
COLUMNA_1_CICRA,-70.08709,-12.565267,242.0,1933.2
COLUMNA_1_CICRA,-70.086859,-12.565267,242.0,1958.2
COLUMNA_1_CICRA,-70.086628,-12.565267,243.0,1983.2
COLUMNA_1_CICRA,-70.086398,-12.565267,243.0,2008.2
COLUMNA_1_CICRA,-70.086167,-12.565267,244.0,2033.2
COLUMNA_1_CICRA,-70.085936,-12.565267,246.0,2058.2
