variable,min,max,mean,std,median,p5,p95,n_valid,n_total,pct_valid,timestamp
NASADEM Digital Elevation Model (30m),208.0,305.0,244.77093505859375,21.1303768157959,241.0,216.0,292.0,62713,62713,100.0,2026-04-15T10:45:13.680749
NASADEM Hillshade,-0.6994646509347276,0.9855985311901019,0.08306570888490196,0.5099070371238708,0.09244499317389872,-0.6495494906950319,0.7452341062780686,62713,62713,100.0,2026-04-15T10:45:14.096084
Copernicus Digital Elevation Model (30m),211.5,308.36090087890625,245.50526428222656,22.36920738220215,242.40927124023438,214.0,293.9010314941406,62713,62713,100.0,2026-04-15T10:45:14.229745
Copernicus Hillshade,-0.7003199372060994,0.9999974119279698,0.06623089571731852,0.504437322044895,0.06967778508655958,-0.6564884165984607,0.7362913871152016,62713,62713,100.0,2026-04-15T10:45:14.356681
DEM Difference (NASADEM - Copernicus),-27.97760009765625,38.0,-0.7343270182609558,6.47733211517334,-1.400299072265625,-9.612493515014648,11.673860549926758,62713,62713,100.0,2026-04-15T10:45:14.476210
Slope (degrees),0.0,31.315927505493164,4.328201770782471,3.6364402770996094,3.4389123916625977,0.0,11.461836814880371,62713,62713,100.0,2026-04-15T10:45:14.675743
"Topographic Position Index (r=3 cells, ~90m)",-14.607147216796875,20.714279174804688,0.0005854374612681568,2.329833745956421,0.0,-3.857147216796875,3.642852783203125,62713,62713,100.0,2026-04-15T10:45:14.876948
"Topographic Position Index (r=5 cells, ~150m)",-17.1875,21.449996948242188,0.0019064812222495675,3.508845567703247,0.0,-6.0,5.5625,62713,62713,100.0,2026-04-15T10:45:15.001665
"Topographic Position Index (r=7 cells, ~210m)",-22.662155151367188,23.716217041015625,0.0026989756152033806,4.333730220794678,0.101348876953125,-7.43243408203125,6.8716278076171875,62713,62713,100.0,2026-04-15T10:45:15.129049
"Topographic Position Index (r=10 cells, ~300m)",-28.474685668945312,26.446197509765625,-0.00020447112910915166,5.52165412902832,0.3259429931640625,-9.324047088623047,8.648727416992188,62713,62713,100.0,2026-04-15T10:45:15.269382
"Topographic Position Index (r=15 cells, ~450m)",-34.04661560058594,28.255645751953125,-0.013733726926147938,6.9968132972717285,0.67938232421875,-11.847457885742188,10.54773998260498,62713,62713,100.0,2026-04-15T10:45:15.458336
Multi-scale TPI Variance,0.042449917644262314,10.4052152633667,1.7499686479568481,1.2593415975570679,1.4217199087142944,0.3454269766807556,4.147507190704346,62713,62713,100.0,2026-04-15T10:45:15.580328
Profile Curvature,-0.554444432258606,0.6100000143051147,9.071303793461993e-05,0.0850270465016365,0.0,-0.1388888955116272,0.1344444453716278,62713,62713,100.0,2026-04-15T10:45:15.703418
Plan Curvature,-0.5444444417953491,0.551111102104187,-1.133915429818444e-05,0.07600884884595871,0.0,-0.12444444745779037,0.11999999731779099,62713,62713,100.0,2026-04-15T10:45:15.828857
Edge Magnitude (Sobel),0.0,0.6083903908729553,0.07616157829761505,0.0651450976729393,0.06009252369403839,0.0,0.2027587592601776,62713,62713,100.0,2026-04-15T10:45:15.961122
Edge Detection (N-S),0.0,0.5333333611488342,0.04692992940545082,0.04992367699742317,0.03333333507180214,3.903127820947816e-17,0.14166666567325592,62713,62713,100.0,2026-04-15T10:45:16.085558
Edge Detection (E-W),1.734723475976807e-18,0.5291666388511658,0.05004106089472771,0.05334388464689255,0.03333333507180214,2.5673907444456745e-16,0.15416666865348816,62713,62713,100.0,2026-04-15T10:45:16.210135
Edge Detection (NE-SW),0.0,0.6208333373069763,0.05133172497153282,0.056313656270504,0.03333333507180214,2.211772431870429e-16,0.15833333134651184,62713,62713,100.0,2026-04-15T10:45:16.331005
Edge Detection (NW-SE),0.0,0.48750001192092896,0.04987562447786331,0.051598917692899704,0.03333333507180214,2.914335439641036e-16,0.15416666865348816,62713,62713,100.0,2026-04-15T10:45:16.451995
Terrain Roughness (local std dev),0.0,20.379409790039062,3.18437123298645,2.231193780899048,2.5625,0.8267973065376282,7.618439197540283,62713,62713,100.0,2026-04-15T10:45:16.572757
Local Relief (max-min in 5x5 window),0.0,69.0,11.222426414489746,7.157232284545898,9.0,3.0,25.0,62713,62713,100.0,2026-04-15T10:45:16.691194
Basic Scarp Detection (slope > 15°),0.0,1.0,0.02005963675792898,0.14020430710598344,0.0,0.0,0.0,62713,62713,100.0,2026-04-15T10:45:16.834678
Enhanced Scarp Probability (weighted composite),0.0,1.0,0.2845359742641449,0.19179470837116241,0.23379266262054443,0.06413647532463074,0.6972271800041199,62713,62713,100.0,2026-04-15T10:45:17.341006
