ensembl_gene_id	chromosome_name
ENSCAFG00845000008	1
ENSCAFG00845000017	1
ENSCAFG00845000018	1
ENSCAFG00845000019	1
ENSCAFG00845000021	1
ENSCAFG00845000022	1
ENSCAFG00845000023	1
ENSCAFG00845000024	1
ENSCAFG00845000026	1
ENSCAFG00845000030	1
ENSCAFG00845000033	1
ENSCAFG00845000045	1
ENSCAFG00845000055	1
ENSCAFG00845000057	1
ENSCAFG00845000059	1
ENSCAFG00845000062	1
ENSCAFG00845000073	1
ENSCAFG00845000134	1
ENSCAFG00845000184	1
ENSCAFG00845000191	1
ENSCAFG00845000262	1
ENSCAFG00845000269	1
ENSCAFG00845000275	1
ENSCAFG00845000291	1
ENSCAFG00845000301	1
ENSCAFG00845000303	1
ENSCAFG00845000353	1
ENSCAFG00845000448	1
ENSCAFG00845000527	1
ENSCAFG00845000541	1
ENSCAFG00845000551	1
ENSCAFG00845000556	1
ENSCAFG00845000562	1
ENSCAFG00845000566	1
ENSCAFG00845000571	1
ENSCAFG00845000590	1
ENSCAFG00845000622	1
ENSCAFG00845000638	1
ENSCAFG00845000664	1
ENSCAFG00845000678	1
ENSCAFG00845000698	1
ENSCAFG00845000730	1
ENSCAFG00845000751	1
ENSCAFG00845000777	1
ENSCAFG00845000817	1
ENSCAFG00845000859	1
ENSCAFG00845000926	1
ENSCAFG00845000961	1
ENSCAFG00845000972	1
ENSCAFG00845000996	1
ENSCAFG00845001028	1
ENSCAFG00845001049	1
ENSCAFG00845001098	1
ENSCAFG00845001115	1
ENSCAFG00845001135	1
ENSCAFG00845001145	1
ENSCAFG00845001162	1
ENSCAFG00845001172	1
ENSCAFG00845001189	1
ENSCAFG00845001204	1
ENSCAFG00845001271	1
ENSCAFG00845001642	1
ENSCAFG00845001688	1
ENSCAFG00845001729	1
ENSCAFG00845001759	1
ENSCAFG00845001805	1
ENSCAFG00845001880	1
ENSCAFG00845001913	1
ENSCAFG00845001926	1
ENSCAFG00845001959	1
ENSCAFG00845001995	1
ENSCAFG00845002019	1
ENSCAFG00845002056	1
ENSCAFG00845002084	1
ENSCAFG00845002109	1
ENSCAFG00845002126	1
ENSCAFG00845002152	1
ENSCAFG00845002203	1
ENSCAFG00845002238	1
ENSCAFG00845002264	1
ENSCAFG00845002284	1
ENSCAFG00845002320	1
ENSCAFG00845002445	1
ENSCAFG00845002496	1
ENSCAFG00845002634	1
ENSCAFG00845002705	1
ENSCAFG00845002725	1
ENSCAFG00845000002	1
ENSCAFG00845000016	1
ENSCAFG00845000025	1
ENSCAFG00845000027	1
ENSCAFG00845000032	1
ENSCAFG00845000036	1
ENSCAFG00845000047	1
ENSCAFG00845000052	1
ENSCAFG00845000068	1
ENSCAFG00845000103	1
ENSCAFG00845000110	1
ENSCAFG00845000114	1
ENSCAFG00845000116	1
ENSCAFG00845000118	1
ENSCAFG00845000119	1
ENSCAFG00845000129	1
ENSCAFG00845000144	1
ENSCAFG00845000146	1
ENSCAFG00845000148	1
ENSCAFG00845000151	1
ENSCAFG00845000153	1
ENSCAFG00845000156	1
ENSCAFG00845000159	1
ENSCAFG00845000163	1
ENSCAFG00845000169	1
ENSCAFG00845000228	1
ENSCAFG00845000231	1
ENSCAFG00845000236	1
ENSCAFG00845000243	1
ENSCAFG00845000248	1
ENSCAFG00845000252	1
ENSCAFG00845000263	1
ENSCAFG00845000280	1
ENSCAFG00845000292	1
ENSCAFG00845000299	1
ENSCAFG00845000304	1
ENSCAFG00845000405	1
ENSCAFG00845000419	1
ENSCAFG00845000431	1
ENSCAFG00845000443	1
ENSCAFG00845000529	1
ENSCAFG00845000544	1
ENSCAFG00845000554	1
ENSCAFG00845000570	1
ENSCAFG00845000586	1
ENSCAFG00845000613	1
ENSCAFG00845000673	1
ENSCAFG00845000742	1
ENSCAFG00845000790	1
ENSCAFG00845000797	1
ENSCAFG00845000830	1
ENSCAFG00845000867	1
ENSCAFG00845001211	1
ENSCAFG00845001732	1
ENSCAFG00845001746	1
ENSCAFG00845001801	1
ENSCAFG00845001850	1
ENSCAFG00845001888	1
ENSCAFG00845001899	1
ENSCAFG00845001910	1
ENSCAFG00845001921	1
ENSCAFG00845002062	1
ENSCAFG00845002237	1
ENSCAFG00845002269	1
ENSCAFG00845002301	1
ENSCAFG00845002403	1
ENSCAFG00845002554	1
ENSCAFG00845002556	1
ENSCAFG00845002566	1
ENSCAFG00845002581	1
ENSCAFG00845002605	1
ENSCAFG00845002619	1
ENSCAFG00845002731	1
ENSCAFG00845002868	1
ENSCAFG00845002887	1
ENSCAFG00845002900	1
ENSCAFG00845002908	1
ENSCAFG00845002942	1
ENSCAFG00845002966	1
ENSCAFG00845002981	1
ENSCAFG00845002988	1
ENSCAFG00845003053	1
ENSCAFG00845003166	1
ENSCAFG00845003170	1
ENSCAFG00845003179	1
ENSCAFG00845003189	1
ENSCAFG00845003196	1
ENSCAFG00845003206	1
ENSCAFG00845003229	1
ENSCAFG00845003249	1
ENSCAFG00845003293	1
ENSCAFG00845003352	1
ENSCAFG00845003453	1
ENSCAFG00845003464	1
ENSCAFG00845003471	1
ENSCAFG00845003487	1
ENSCAFG00845004407	1
ENSCAFG00845004415	1
ENSCAFG00845004418	1
ENSCAFG00845004440	1
ENSCAFG00845004478	1
ENSCAFG00845004492	1
ENSCAFG00845004505	1
ENSCAFG00845004508	1
ENSCAFG00845004513	1
ENSCAFG00845004515	1
ENSCAFG00845004517	1
ENSCAFG00845004520	1
ENSCAFG00845004524	1
ENSCAFG00845004528	1
ENSCAFG00845004532	1
ENSCAFG00845004533	1
ENSCAFG00845004539	1
ENSCAFG00845004548	1
ENSCAFG00845004554	1
ENSCAFG00845004576	1
ENSCAFG00845004612	1
ENSCAFG00845004632	1
ENSCAFG00845004663	1
ENSCAFG00845004676	1
ENSCAFG00845004684	1
ENSCAFG00845004689	1
ENSCAFG00845004691	1
ENSCAFG00845004694	1
ENSCAFG00845004703	1
ENSCAFG00845004717	1
ENSCAFG00845004718	1
ENSCAFG00845004723	1
ENSCAFG00845004727	1
ENSCAFG00845004762	1
ENSCAFG00845004772	1
ENSCAFG00845004776	1
ENSCAFG00845004781	1
ENSCAFG00845004799	1
ENSCAFG00845004862	1
ENSCAFG00845004867	1
ENSCAFG00845004870	1
ENSCAFG00845004873	1
ENSCAFG00845004876	1
ENSCAFG00845004878	1
ENSCAFG00845004896	1
ENSCAFG00845004917	1
ENSCAFG00845004920	1
ENSCAFG00845004926	1
ENSCAFG00845004931	1
ENSCAFG00845004951	1
ENSCAFG00845004969	1
ENSCAFG00845004995	1
ENSCAFG00845005017	1
ENSCAFG00845005022	1
ENSCAFG00845005024	1
ENSCAFG00845005059	1
ENSCAFG00845005114	1
ENSCAFG00845005160	1
ENSCAFG00845005246	1
ENSCAFG00845005242	1
ENSCAFG00845005265	1
ENSCAFG00845005394	1
ENSCAFG00845005397	1
ENSCAFG00845005401	1
ENSCAFG00845005425	1
ENSCAFG00845005614	1
ENSCAFG00845005654	1
ENSCAFG00845005698	1
ENSCAFG00845005710	1
ENSCAFG00845005722	1
ENSCAFG00845005728	1
ENSCAFG00845005916	1
ENSCAFG00845006194	1
ENSCAFG00845006309	1
ENSCAFG00845006386	1
ENSCAFG00845006434	1
ENSCAFG00845006505	1
ENSCAFG00845006540	1
ENSCAFG00845006567	1
ENSCAFG00845006600	1
ENSCAFG00845006623	1
ENSCAFG00845006653	1
ENSCAFG00845006679	1
ENSCAFG00845006691	1
ENSCAFG00845006723	1
ENSCAFG00845006792	1
ENSCAFG00845006884	1
ENSCAFG00845007200	1
ENSCAFG00845007213	1
ENSCAFG00845007489	1
ENSCAFG00845007775	1
ENSCAFG00845007820	1
ENSCAFG00845010054	1
ENSCAFG00845010111	1
ENSCAFG00845010165	1
ENSCAFG00845010329	1
ENSCAFG00845010575	1
ENSCAFG00845010601	1
ENSCAFG00845010652	1
ENSCAFG00845010679	1
ENSCAFG00845010700	1
ENSCAFG00845010736	1
ENSCAFG00845010796	1
ENSCAFG00845010804	1
ENSCAFG00845010818	1
ENSCAFG00845010915	1
ENSCAFG00845010927	1
ENSCAFG00845010939	1
ENSCAFG00845010954	1
ENSCAFG00845010994	1
ENSCAFG00845011029	1
ENSCAFG00845011283	1
ENSCAFG00845011718	1
ENSCAFG00845011748	1
ENSCAFG00845011773	1
ENSCAFG00845011826	1
ENSCAFG00845011947	1
ENSCAFG00845011957	1
ENSCAFG00845011977	1
ENSCAFG00845012053	1
ENSCAFG00845012120	1
ENSCAFG00845012219	1
ENSCAFG00845012462	1
ENSCAFG00845012473	1
ENSCAFG00845012485	1
ENSCAFG00845012627	1
ENSCAFG00845012671	1
ENSCAFG00845012757	1
ENSCAFG00845012810	1
ENSCAFG00845012815	1
ENSCAFG00845012827	1
ENSCAFG00845012845	1
ENSCAFG00845012944	1
ENSCAFG00845013137	1
ENSCAFG00845013153	1
ENSCAFG00845013164	1
ENSCAFG00845013176	1
ENSCAFG00845013198	1
ENSCAFG00845013216	1
ENSCAFG00845013232	1
ENSCAFG00845013257	1
ENSCAFG00845013317	1
ENSCAFG00845013342	1
ENSCAFG00845013379	1
ENSCAFG00845013621	1
ENSCAFG00845013661	1
ENSCAFG00845013710	1
ENSCAFG00845013765	1
ENSCAFG00845013934	1
ENSCAFG00845013941	1
ENSCAFG00845013944	1
ENSCAFG00845013950	1
ENSCAFG00845013953	1
ENSCAFG00845013957	1
ENSCAFG00845013964	1
ENSCAFG00845014465	1
ENSCAFG00845017054	1
ENSCAFG00845017067	1
ENSCAFG00845017100	1
ENSCAFG00845017257	1
ENSCAFG00845017848	1
ENSCAFG00845017869	1
ENSCAFG00845017900	1
ENSCAFG00845018045	1
ENSCAFG00845018177	1
ENSCAFG00845018247	1
ENSCAFG00845018387	1
ENSCAFG00845018545	1
ENSCAFG00845018656	1
ENSCAFG00845018728	1
ENSCAFG00845018774	1
ENSCAFG00845018925	1
ENSCAFG00845019206	1
ENSCAFG00845019222	1
ENSCAFG00845019246	1
ENSCAFG00845019312	1
ENSCAFG00845019515	1
ENSCAFG00845019534	1
ENSCAFG00845019568	1
ENSCAFG00845019584	1
ENSCAFG00845019656	1
ENSCAFG00845019716	1
ENSCAFG00845019736	1
ENSCAFG00845019795	1
ENSCAFG00845019814	1
ENSCAFG00845020116	1
ENSCAFG00845021122	1
ENSCAFG00845021174	1
ENSCAFG00845021289	1
ENSCAFG00845000003	1
ENSCAFG00845000004	1
ENSCAFG00845000005	1
ENSCAFG00845000007	1
ENSCAFG00845000011	1
ENSCAFG00845000014	1
ENSCAFG00845000020	1
ENSCAFG00845000028	1
ENSCAFG00845000031	1
ENSCAFG00845000043	1
ENSCAFG00845000071	1
ENSCAFG00845000077	1
ENSCAFG00845000085	1
ENSCAFG00845000096	1
ENSCAFG00845000104	1
ENSCAFG00845000120	1
ENSCAFG00845000132	1
ENSCAFG00845000141	1
ENSCAFG00845000160	1
ENSCAFG00845000205	1
ENSCAFG00845000238	1
ENSCAFG00845000249	1
ENSCAFG00845000254	1
ENSCAFG00845000268	1
ENSCAFG00845000294	1
ENSCAFG00845000332	1
ENSCAFG00845000411	1
ENSCAFG00845000478	1
ENSCAFG00845000485	1
ENSCAFG00845000496	1
ENSCAFG00845000494	1
ENSCAFG00845000506	1
ENSCAFG00845000525	1
ENSCAFG00845000636	1
ENSCAFG00845000782	1
ENSCAFG00845000800	1
ENSCAFG00845000812	1
ENSCAFG00845000826	1
ENSCAFG00845000834	1
ENSCAFG00845000840	1
ENSCAFG00845000878	1
ENSCAFG00845000995	1
ENSCAFG00845001134	1
ENSCAFG00845001194	1
ENSCAFG00845001206	1
ENSCAFG00845001243	1
ENSCAFG00845001275	1
ENSCAFG00845001282	1
ENSCAFG00845001284	1
ENSCAFG00845001296	1
ENSCAFG00845001317	1
ENSCAFG00845001348	1
ENSCAFG00845001373	1
ENSCAFG00845001407	1
ENSCAFG00845001410	1
ENSCAFG00845001431	1
ENSCAFG00845001443	1
ENSCAFG00845001461	1
ENSCAFG00845001477	1
ENSCAFG00845001542	1
ENSCAFG00845001673	1
ENSCAFG00845001680	1
ENSCAFG00845001683	1
ENSCAFG00845001694	1
