gene_id	dog_selected	dog_pvalue	dog_omega	dingo_selected	dingo_pvalue	dingo_omega	fox_selected	fox_pvalue	fox_omega	gene_symbol	description
Gene_00845006705	True	3.33066907387547e-16	0.4085729574950333	False	1.0	1.0	False	1.0	0.569435645588581	APOE	apolipoprotein E
Gene_00845015298	True	5.489112580386868e-05	1.083746965029703	False	1.0	10000000000.0	False	0.5	10000000000.0	ARL6	ADP ribosylation factor like GTPase 6
Gene_00845027434	True	0.0	0.5427427347664268	False	0.4189083312308552	10000000000.0	False	1.0	0.0	CXXC4	CXXC finger protein 4
Gene_00845026259	True	3.4694913608745985e-11	0.6065113449762201	False	1.0	1.0	False	1.0	0.0367040916343328	DVL3	dishevelled segment polarity protein 3
Gene_00845028755	True	0.0	0.561951904835507	False	1.0	10000000000.0	False	1.0	0.1413511765018061	EDA	ectodysplasin A
Gene_00845027774	True	0.0	0.9897006919773884	False	1.0	1.0	False	1.0	0.1383581170125993	EDNRB	endothelin receptor type B
Gene_00845001301	True	0.0018035647176233	2697.454442848053	False	1.0	0.0	False	0.9574698891269632	10000000000.0	FGF10	fibroblast growth factor 10
Gene_00845016004	True	2.209066263247905e-12	1.065149232252352	False	1.0	0.0	False	1.0	0.32320595175567	FRZB	frizzled related protein
Gene_00845022244	True	0.0	0.6736481570003602	False	1.0	1.0	False	1.0	0.0	FZD3	frizzled class receptor 3
Gene_00845006501	True	7.105982469113314e-13	0.7581378566041429	False	1.0	1.0	False	1.0	0.0	FZD4	frizzled class receptor 4
Gene_00845009564	True	0.0	0.7845711789189035	False	1.0	1.0	False	1.0	0.0	GNAQ	G protein subunit alpha q
Gene_00845027305	True	0.0	0.5717071817527875	False	1.0	1.0	False	1.0	0.0	IFT80	intraflagellar transport 80
Gene_00845029249	True	0.0	0.5246120592296938	False	1.0	1.0	False	1.0	0.1777011029420063	LEF1	lymphoid enhancer binding factor 1
Gene_00845030766	True	0.0	0.6902906983935738	False	1.0	1.0	False	1.0	0.1927222595793588	PORCN	porcupine O-acyltransferase
Gene_00845016435	True	0.0	0.822055783177739	False	1.0	1.0	False	1.0	0.0416316666282683	USP47	ubiquitin specific peptidase 47
Gene_00845012141	True	1.144965834309897e-06	0.470730078751868	False	0.7146738807829316	10000000000.0	False	1.0	0.0	WIF1	WNT inhibitory factor 1
